ReadGroup	Length_estimate
[QG2733.bam]	175.891
[QG3824.bam]	148.666
[NIC1181.bam]	194.75
[NIC1653.bam]	134.642
[NIC1411.bam]	158.879
[NIC964.bam]	149.02
[NIC947.bam]	178.125
[NIC192.bam]	182.139
[NIC1391.bam]	117.303
[QG3834.bam]	135.772
[QG3846.bam]	131.585
[NIC1928.bam]	186.074
[NIC1878.bam]	141.65
[JU1632.bam]	143.056
[NIC1144.bam]	135.027
[QG2897.bam]	139.138
[NIC939.bam]	115.689
[NIC1647.bam]	153.685
[NIC1915.bam]	206.107
[NIC987.bam]	190.927
[ECA796.bam]	131.84
[NIC1559.bam]	128.119
[NIC1163.bam]	140.365
[NIC1395.bam]	211.123
[ECA799.bam]	151.818
[NIC999.bam]	209.932
[NIC1679.bam]	136.628
[QG3860.bam]	106.282
[NIC951.bam]	178.569
[NIC960.bam]	145.058
[NIC247.bam]	264.339
[NIC380.bam]	168.312
[ECA802.bam]	104.52
[QG3818.bam]	92.8461
[NIC1132.bam]	160.042
[NIC1917.bam]	150.566
[NIC461.bam]	174.72
[QG2748.bam]	175.136
[ECA1449.bam]	151.246
[NIC389.bam]	220.832
[NIC384.bam]	186.475
[QG3869.bam]	159.292
[NIC1122.bam]	147.581
[NIC898.bam]	133.117
[NIC387.bam]	203.487
[NIC1848.bam]	160.041
[NIC585.bam]	127.786
[NIC1879.bam]	137.339
[JU1848.bam]	156.11
[QG2770.bam]	258.528
[ECA1599.bam]	93.9229
[QG2755.bam]	185.314
[NIC1541.bam]	105.675
[NIC1425.bam]	164.001
[NIC773.bam]	117.483
[JU1373.bam]	170.813
[ECA1303.bam]	151.434
[NIC1275.bam]	168.821
[QG3535.bam]	140.305
[NIC551.bam]	150.945
[NIC923.bam]	206.088
[QG3010.bam]	122.328
[QG2720.bam]	177.012
[QG3873.bam]	195.343
[QG3856.bam]	253.98
[NIC959.bam]	164.711
[ECA789.bam]	220.755
[QG3791.bam]	100.792
[JU2752.bam]	167.572
[NIC1172.bam]	144.815
[NIC1415.bam]	168.954
[JU1819.bam]	234.624
[JU1800.bam]	160.08
[NIC1837.bam]	183.293
[NIC1153.bam]	146.322
[NIC1290.bam]	139.695
[NIC955.bam]	121.77
[NIC1187.bam]	233.669
[NIC1594.bam]	99.2272
[NIC1583.bam]	119.584
[BRC20391.bam]	205.081
[QG3836.bam]	134.628
[NIC958.bam]	161.217
[QG801.bam]	140.769
[NIC586.bam]	148.612
[QG3853.bam]	126.478
[NIC417.bam]	184.168
[NIC473.bam]	134.297
[QG3844.bam]	174.244
[QG834.bam]	140.418
[NIC300.bam]	212.118
[NIC915.bam]	168.083
[NIC492.bam]	164.033
[NIC124.bam]	142.692
[QG820.bam]	130.502
[NIC1368.bam]	156.704
[NIC85.bam]	171.167
[NIC1913.bam]	152.059
[NIC592.bam]	139.504
[ECA804.bam]	104.386
[NIC1557.bam]	111.759
[QG3548.bam]	142.855
[NIC1962.bam]	187.354
[NIC571.bam]	169.025
[ECA1585.bam]	90.2123
[ECA1481.bam]	129.765
[NIC1916.bam]	193.341
[NIC568.bam]	186.51
[NIC1148.bam]	175.253
[NIC1383.bam]	175.466
[NIC1592.bam]	77.9574
[NIC1028.bam]	116.895
[NIC1950.bam]	192.294
[NIC1404.bam]	158.22
[QG2904.bam]	165.694
[NIC1033.bam]	165.232
[NIC1180.bam]	214.951
[NIC961.bam]	117.754
[NIC1168.bam]	142.856
[NIC747.bam]	160.158
[NIC1851.bam]	177.614
[NIC936.bam]	243.158
[NIC598.bam]	156.694
[NIC1341.bam]	166.23
[NIC1855.bam]	189.073
[NIC1918.bam]	167.686
[QG3546.bam]	180.882
[NIC391.bam]	138.852
[NIC322.bam]	192.309
[NIC1193.bam]	144.776
[NIC378.bam]	173.752
[NIC933.bam]	133.72
[NIC454.bam]	179.601
[QG3789.bam]	130.902
[QG3795.bam]	126.345
[NIC57.bam]	106.21
[JU1633.bam]	171.602
[NIC1392.bam]	137.428
[NIC1370.bam]	131.093
[QG3786.bam]	129.62
[NIC403.bam]	149.97
[JU2751.bam]	166.318
[NIC1175.bam]	205.192
[NIC1164.bam]	171.945
[NIC1015.bam]	124.354
[NIC413.bam]	131.723
[JU1976.bam]	162.523
