strain	isotype	release	isotype_ref_strain	wgs_seq
ECA1282	ECA1281	20200815	FALSE	TRUE
ECA1283	ECA1283	20200815	TRUE	TRUE
ECA1284	ECA1284	20200815	TRUE	TRUE
ECA1285	ECA1284	20200815	FALSE	TRUE
ECA1286	ECA1286	20200815	TRUE	TRUE
ECA1287	ECA1287	20200815	TRUE	TRUE
ECA1288	ECA1288	20200815	TRUE	TRUE
ECA1289	ECA1289	20200815	TRUE	TRUE
ECA1290	ECA1286	20200815	FALSE	TRUE
ECA1291	ECA760	20200815	FALSE	TRUE
ECA1292	ECA1298	20200815	FALSE	TRUE
ECA1293	ECA1293	20200815	TRUE	TRUE
ECA1294	ECA1293	20200815	FALSE	TRUE
ECA1295	ECA1298	20200815	FALSE	TRUE
ECA1296	ECA1298	20200815	FALSE	TRUE
ECA1297	ECA1298	20210121	FALSE	TRUE
ECA1298	ECA1298	20200815	TRUE	TRUE
ECA1316	ECA1316	20210121	TRUE	TRUE
ECA1385	ECA760	20200815	FALSE	TRUE
ECA1389	ECA1413	20200815	FALSE	TRUE
ECA1391	ECA1413	20200815	FALSE	TRUE
ECA1409	ECA1409	20210121	TRUE	TRUE
ECA1413	ECA1413	20200815	TRUE	TRUE
ECA1415	ECA1413	20200815	FALSE	TRUE
ECA1441	ECA724	20200815	FALSE	TRUE
ECA1465	ECA1493	20200815	FALSE	TRUE
ECA1467	ECA1493	20200815	FALSE	TRUE
ECA1493	ECA1493	20200815	TRUE	TRUE
ECA1515	ECA1493	20200815	FALSE	TRUE
ECA1689	ECA2111	20210121	FALSE	TRUE
ECA1691	ECA2111	20210121	FALSE	TRUE
ECA1693	ECA1693	20210121	TRUE	TRUE
ECA1695	ECA2111	20210121	FALSE	TRUE
ECA1709	ECA1713	20210121	FALSE	TRUE
ECA1711	ECA1713	20210121	FALSE	TRUE
ECA1713	ECA1713	20210121	TRUE	TRUE
ECA1715	ECA2151	20210121	FALSE	TRUE
ECA1717	ECA1717	20210121	TRUE	TRUE
ECA1718	ECA2151	20210121	FALSE	TRUE
ECA1721	ECA2151	20210121	FALSE	TRUE
ECA1723	ECA1851	20210121	FALSE	TRUE
ECA1725	ECA1725	20210121	TRUE	TRUE
ECA1727	ECA2159	20210121	FALSE	TRUE
ECA1729	ECA2159	20210121	FALSE	TRUE
ECA1731	ECA1769	20210121	FALSE	TRUE
ECA1733	ECA1751	20210121	FALSE	TRUE
ECA1735	ECA1751	20210121	FALSE	TRUE
ECA1737	ECA1751	20210121	FALSE	TRUE
ECA1739	ECA2091	20210121	FALSE	TRUE
ECA1741	ECA1751	20210121	FALSE	TRUE
ECA1743	ECA1761	20210121	FALSE	TRUE
ECA1745	ECA1751	20210121	FALSE	TRUE
ECA1747	ECA1751	20210121	FALSE	TRUE
ECA1749	ECA1751	20210121	FALSE	TRUE
ECA1751	ECA1751	20210121	TRUE	TRUE
ECA1753	ECA1751	20210121	FALSE	TRUE
ECA1755	ECA1757	20210121	FALSE	TRUE
ECA1757	ECA1757	20210121	TRUE	TRUE
ECA1759	ECA1853	20210121	FALSE	TRUE
ECA1761	ECA1761	20210121	TRUE	TRUE
ECA1763	ECA1761	20210121	FALSE	TRUE
ECA1765	ECA1761	20210121	FALSE	TRUE
ECA1767	ECA1761	20210121	FALSE	TRUE
ECA1769	ECA1769	20210121	TRUE	TRUE
ECA1771	ECA1769	20210121	FALSE	TRUE
ECA1779	ECA1281	20210121	FALSE	TRUE
ECA1781	ECA1281	20210121	FALSE	TRUE
ECA1783	ECA1281	20210121	FALSE	TRUE
ECA1785	ECA2377	20210121	FALSE	TRUE
ECA1787	ECA2081	20210121	FALSE	TRUE
ECA1789	ECA2081	20210121	FALSE	TRUE
ECA1791	ECA2443	20210121	FALSE	TRUE
ECA1793	ECA1793	20210121	TRUE	TRUE
ECA1795	ECA1769	20210121	FALSE	TRUE
ECA1797	ECA1769	20210121	FALSE	TRUE
ECA1799	ECA1805	20210121	FALSE	TRUE
ECA1801	ECA1805	20210121	FALSE	TRUE
ECA1803	ECA1805	20210121	FALSE	TRUE
ECA1805	ECA1805	20210121	TRUE	TRUE
ECA1807	ECA1807	20210121	TRUE	TRUE
ECA1809	ECA1815	20210121	FALSE	TRUE
ECA1811	ECA1815	20210121	FALSE	TRUE
ECA1813	ECA1815	20210121	FALSE	TRUE
ECA1815	ECA1815	20210121	TRUE	TRUE
ECA1817	ECA1815	20210121	FALSE	TRUE
ECA1819	ECA1815	20210121	FALSE	TRUE
ECA1821	ECA1821	20210121	TRUE	TRUE
ECA1823	ECA1821	20210121	FALSE	TRUE
ECA1825	ECA1825	20210121	TRUE	TRUE
ECA1827	ECA2336	20210121	FALSE	TRUE
ECA1829	ECA2336	20210121	FALSE	TRUE
ECA1831	ECA1825	20210121	FALSE	TRUE
ECA1833	ECA2336	20210121	FALSE	TRUE
ECA1835	ECA1843	20210121	FALSE	TRUE
ECA1837	ECA1843	20210121	FALSE	TRUE
ECA1839	ECA1843	20210121	FALSE	TRUE
ECA1841	ECA1843	20210121	FALSE	TRUE
ECA1843	ECA1843	20210121	TRUE	TRUE
ECA1845	ECA1885	20210121	FALSE	TRUE
ECA1847	ECA1885	20210121	FALSE	TRUE
ECA1849	ECA1885	20210121	FALSE	TRUE
ECA1851	ECA1851	20210121	TRUE	TRUE
ECA1853	ECA1853	20210121	TRUE	TRUE
ECA1855	ECA1853	20210121	FALSE	TRUE
ECA1857	ECA1853	20210121	FALSE	TRUE
ECA1859	ECA1853	20210121	FALSE	TRUE
ECA1861	ECA1919	20210121	FALSE	TRUE
ECA1863	ECA1919	20210121	FALSE	TRUE
ECA1865	ECA1919	20210121	FALSE	TRUE
ECA1867	ECA1919	20210121	FALSE	TRUE
ECA1869	ECA1919	20210121	FALSE	TRUE
ECA1871	ECA1919	20210121	FALSE	TRUE
ECA1873	ECA1901	20210121	FALSE	TRUE
ECA1875	ECA1875	20210121	TRUE	TRUE
ECA1877	ECA2336	20210121	FALSE	TRUE
