isotype	mean_length	celegans_rescale	rounded_val
ECA738	172.7066	11.558048585410551	12
ECA740	57.2268	3.829790724775848	4
ECA741	145.668	9.748543607132467	10
ECA742	136.279	9.120203299533221	9
ECA743	166.817	11.163898721139967	11
ECA744	175.18099999999998	11.723642925289512	12
ECA745	153.1645	10.250232084703851	10
ECA746	226.522	15.15953809330025	15
ECA760	221.43182352941176	14.818888072077131	15
ECA768	146.1935	9.783711658218142	10
ECA777	248.311	16.617723945071464	17
ECA778	242.24593333333334	16.211831320197327	16
ECA807	192.52383333333333	12.884277841820461	13
ECA812	188.28404347826086	12.60053826767067	13
ECA923	143.8632	9.627760926638791	10
ECA928	357.567	23.929466265559594	24
ECA930	296.672	19.854188490369904	20
ED3005	138.365	9.25980473543183	9
ED3011	781.674	52.31199079799039	52
ED3012	467.155	31.26342703126265	31
ED3017	279.65	18.715024711910605	19
ED3040	154.702	10.353126239878401	10
ED3046	265.927	17.79664000201771	18
ED3048	215.438	14.417763253654917	14
ED3049	607.784	40.674745501533614	41
ED3052	91.6412	6.132906571175192	6
ED3073	132.25096666666667	8.850635112965252	9
ED3077	147.392	9.863918906983473	10
EG4347	337.045	22.556071889954985	23
EG4349	108.425	7.256129284423055	7
EG4724	406.606	27.21130462367647	27
EG4725	224.705	15.037938951867954	15
EG4946	272.077	18.208216622715906	18
GXW1	131.089	8.7728727854806	9
JR4305	241.505	16.162245818165463	16
JT11398	578.381	38.70700771642971	39
JU1088	293.626	19.650340947825722	20
JU1172	330.906	22.1452314225621	22
JU1200	224.29899999999998	15.010768202599095	15
JU1212	185.573	12.41910702972783	12
JU1213	126.8576	8.48969468583469	8
JU1242	137.88	9.227347066970264	9
JU1246	152.558	10.209643268369957	10
JU1249	185.489	12.41348549539634	12
JU1395	137.89600000000002	9.228417835414358	9
JU1400	93.8886	6.283309383753586	6
JU1409	214.895	14.381424049583517	14
JU1440	151.102	10.112203339957507	10
JU1491	149.683	10.01723956357202	10
JU1530	165.05540000000002	11.046007115445343	11
JU1543	223.569	14.96191439233736	15
JU1568	188.573	12.619876112995241	13
JU1581	126.00012	8.432309527994642	8
JU1586	238.277	15.946218284569724	16
JU1652	279.191	18.68430704217069	19
JU1666	143.78975	9.622845430250127	10
JU1792	139.565	9.340112368738794	9
JU1793	146.46442222222223	9.801842593615584	10
JU1808	168.519	11.277801714380345	11
JU1896	219.726	14.704729196671805	15
JU1934	112.487	7.527970623167132	8
JU2001	125.133	8.37427923216703	8
JU2007	79.9157	5.348200609224511	5
JU2016	213.354	14.278295663811821	14
JU2017	85.2482	5.705067654732336	6
JU2106	101.539	6.795297315296589	7
JU2131	119.824	8.018984877811468	8
JU2141	99.275	6.643783580457449	7
JU2234	254.179	17.010428271942523	17
JU2250	54.0955	3.6202346479640988	4
JU2257	100.73635	6.741581547068393	7
JU2316	78.6536	5.263737055893911	5
JU2464	146.96	9.835008158992967	10
JU2466	140.536	9.40509462868968	9
JU2478	238.256	15.944812900986854	16
JU2513	113.466	7.593488267340064	8
JU2519	114.515	7.663690523455903	8
JU2522	146.241	9.786890502036544	10
JU2526	85.8289	5.743929856950132	6
JU2534	361.603	24.19956760558202	24
JU2565	227.985	15.257446482906992	15
JU2566	151.977	10.170760989243835	10
JU2570	86.3859	5.781205983410115	6
JU2572	230.014	15.393233306223518	15
JU2575	72.539	4.8545295103782715	5
JU2576	471.377	31.545976054447653	32
JU2578	93.5414	6.260073708516771	6
JU258	432	28.91074799050736	29
JU2581	143.719	9.618110626036405	10
JU2586	295.094	19.748583952571245	20
JU2587	299.395	20.03641989494896	20
JU2592	224.236	15.006552051850479	15
JU2593	178.808	11.966372746959813	12
JU2600	208.405	13.947093599448346	14
JU2610	166.224	11.124213365680774	11
JU2619	75.006	5.01962861985184	5
JU2800	101.9667	6.823920294267747	7
JU2811	122.103	8.171502458066943	8
JU2825	231.221	15.474009400724773	15
JU2829	93.9637	6.288335303138046	6
JU2838	92.9312	6.219237276980179	6
JU2841	75.1633	5.030155612117828	5
JU2853	126.187	8.444816103421648	8
JU2862	108.549	7.264427739864776	7
JU2866	119.01	7.964509533218243	8
JU2878	140.92	9.430793071347908	9
JU2879	97.3007	6.511657446759165	7
JU2906	201.022	13.453000885527244	13
JU2907	174.951	11.708250628905677	12
JU310	100.994	6.758824265169675	7
JU311	147.1529	9.84791761104706	10
JU3125	177.507	11.879305887849513	12
JU3127	213.181	14.266717980010068	14
JU3128	149.647	10.01483033457281	10
JU3132	122.641	8.207507046999567	8
JU3134	220.589	14.762483769625062	15
JU3135	164.506	11.009239603996303	11
JU3137	331.765	22.202718303404335	22
JU3140	128.641	8.60904521353439	9
JU3141	154.811	10.360420849903784	10
JU3144	149.765	10.022727251847995	10
JU3166	71.6773	4.796861937361095	5
JU3167	70.4363	4.713810459916142	5
JU3169	62.9852	4.215160287804871	4
JU3224	161.018	10.77581208318406	11
JU3225	186.977	12.513066960696978	13
JU3226	255.17	17.076748992448522	17
JU3228	258.33050000000003	17.288259221670746	17
JU323	197.2115	13.197990688263754	13
JU3280	156.171	10.451436167651677	10
JU3282	122.358	8.188567830144674	8
JU3291	144.874	9.695406723094358	10
JU3318	218.3	14.609296959092028	15
JU346	233.93400000000003	15.655571575026269	16
JU360	295.4415	19.77183970471639	20
JU367	120.958	8.094875591286547	8
JU3795	174.16	11.655314513950836	12
JU393	157.153	10.517154580907876	11
JU394	307.89	20.604931015734515	21
JU397	141.106	9.443240754510489	9
JU4047	146.6877142857143	9.816785974578314	10
JU406	131.454	8.797299690611469	9
JU4073	196.47	13.148367263182825	13
JU4082	156.1205	10.448056554750009	10
JU4098	212.736	14.236937232658732	14
JU440	129.241	8.649199030187875	9
JU561	156.343	10.462946928425675	10
JU642	141.1882857142857	9.448747563651537	9
JU751	163.6155	10.94964464777976	11
JU774	137.252	9.185319405539621	9
JU775	630.629	42.20360207061496	42
JU778	229.471	15.356894102152113	15
JU782	157.937	10.569622234668428	11
JU792	115.39028	7.722266911190004	8
JU830	228.111	15.26587878440422	15
JU847	412.578	27.61096894543413	28
KR314	688.399	46.069745384067765	46
LKC34	364.793	24.413052064123036	24
MY1	264.951	17.731323126928043	18
MY10	175.377	11.73675983872965	12
MY16	447.511	29.948791074027636	30
MY18	170.649	11.420347763500208	11
MY2147	186.56799999999998	12.485695442344852	12
MY2212	225.107	15.064842009025785	15
MY23	315.45655	21.111307451400194	21
MY2453	179.58488333333332	12.018364131839501	12
MY2530	130.751	8.750252802099137	9
MY2535	213.961625	14.318959768551942	14
MY2573	136.999915	9.168449114087798	9
MY2585	491.96900000000005	32.924055041995175	33
MY2693	220.87633333333335	14.781712986266898	15
MY2713	178.8512	11.969263821758865	12
MY2741	158.63299999999998	10.616200661986467	11
MY518	851.369	56.97619121743116	57
MY679	150.68033333333332	10.083984129920475	10
MY772	128.066	8.570564472574805	9
MY795	237.36025	15.884866598874591	16
MY920	145.67207692307693	9.748816447168704	10
N2	233.512	15.627330057313317	16
NIC1	245.091	16.402231795697777	16
NIC1049	80.79	5.406711412391411	5
NIC1107	140.348	9.392513099471591	9
NIC1119	122.402	8.19151244336593	8
NIC166	273.463	18.30097193918545	18
NIC1779	258.153	17.27638038424409	17
NIC1780	252.785	16.91713757125093	17
NIC1782	186.957	12.51172850014186	13
NIC1783	195.895	13.109886522223238	13
NIC1785	211.761	14.171687280596824	14
NIC1786	182.041	12.18273489569433	12
NIC1787	163.309	10.929132739772605	11
NIC1788	177.3755	11.870505509699623	12
NIC1789	210.924	14.115672706365217	14
NIC1790	167.629	11.21824021967768	11
NIC1791	136.306	9.122010221282629	9
NIC1792	170.666	11.421485454972057	11
NIC1794	193.187	12.92865896306052	13
NIC1796	208.176	13.931768226092267	14
NIC1798	219.95299999999997	14.71992072397237	15
NIC1799	168.723	11.29145401204253	11
NIC1801	182.485	12.212448720017905	12
NIC1802	200.339	13.40729245757003	13
NIC1805	320.9066666666667	21.476045760355902	21
NIC1806	199.772	13.36934710083249	13
NIC1808	287.934	19.26941507383969	19
NIC1809	169.262	11.327525524002908	11
NIC1810	224.187	15.003272823490446	15
NIC1811	177.04	11.848052833887552	12
NIC1812	170.979	11.442432362659625	11
NIC1832	264.51	17.701810071687735	18
NIC195	274.658	18.380944957353634	18
NIC199	208.92950000000002	13.982194727506267	14
NIC2	200.874	13.443096277419386	13
NIC207	1315.9	88.06401222386258	88
NIC231	200.497	13.417866295955449	13
NIC236	181.43099999999998	12.141911848763286	12
NIC242	242.896	16.255335749773785	16
NIC251	198.386	13.276591784362946	13
NIC252	124.754	8.348915404647581	8
NIC255	455.131	30.45874454552686	30
NIC256	215.2045	14.402136726673938	14
NIC258	237.61	15.901580625056607	16
NIC259	223.449	14.953883629006663	15
NIC260	142.921	9.564706049887272	10
NIC261	209.33	14.008997400122468	14
NIC262	448.48	30.013639487923008	30
NIC265	116.398	7.789706584720081	8
NIC266	422.191	28.254300011250674	28
NIC267	109.3225	7.316192701833891	7
NIC268	168.717	11.291052473875995	11
NIC269	206.554	13.823219075072354	14
NIC271	230.279	15.410967908578806	15
NIC272	115.17865	7.708103990826042	8
NIC274	53.6572	3.59090228489873	4
NIC275	272.499	18.236458140428855	18
NIC276	120.22	8.045486396802765	8
NIC277	169.467	11.341244744692847	11
NIC3	144.85555	9.694171993232265	10
NIC501	93.9134	6.284969074841929	6
NIC511	98.7148	6.606293300308647	7
NIC513	125.045	8.36839000572452	8
NIC514	341.743	22.870476274351752	23
NIC515	258.76	17.31700266209186	17
NIC522	275.922	18.465535664436974	18
NIC523	86.6102	5.796216818535742	6
NIC526	366.672	24.53880043327619	25
NIC527	136.734	9.150653277162114	9
NIC528	111.149	7.438427612029867	7
NIC529	150.222	10.0533110755324	10
PB303	696.373	46.60338960739254	47
PB306	305.644	20.45462189539498	20
PS2025	162.211	10.855651255296735	11
PX179	188.509	12.615593039218869	13
QG2075	237.989	15.926944452576056	16
QG2811	150.2935	10.058096072016939	10
QG2813	140.103	9.37611695767142	9
QG2818	132.254	8.85083811281611	9
QG2823	390.5425	26.13628656732111	26
QG2824	139.427	9.330876990908493	9
QG2825	142.245	9.519466083124351	10
QG2827	135.269	9.05261104149986	9
QG2828	140.026	9.370963884534222	9
QG2832	150.32999999999998	10.060538762530026	10
QG2835	141.765	9.487343029801563	9
QG2836	134.956	9.031664133812294	9
QG2837	154.522	10.341080094882356	10
QG2838	165.814	11.096774924300895	11
QG2841	143.19899999999998	9.583310651603385	10
QG2843	146.906	9.831394315494153	10
QG2846	136.32466666666667	9.123259451134071	9
QG2850	133.0135	8.901666152396645	9
QG2854	131.07516666666666	8.771947016929976	9
QG2855	134.926	9.029656442979618	9
QG2857	127.98	8.564809092187806	9
QG2873	157.095	10.513273045298039	11
QG2874	162.262	10.85906432971228	11
QG2875	132.33300000000003	8.856125032008821	9
QG2877	130.7695	8.75149087811262	9
QG2932	132.6105	8.874696172211056	9
QG4003	187.844	12.57108922576126	13
QG4004	195.548	13.086664231591975	13
QG4006	199.539	13.353754035365387	13
QG4008	187.143	12.52417618330444	13
QG4010	212.27642857142857	14.206181321188673	14
QG4012	268.765	17.986567554788678	18
QG4015	236.70657142857144	15.841120449695506	16
QG4017	258.546	17.30268113415212	17
QG4018	216.983	14.521159331537634	15
QG4021	198.277	13.269297174337561	13
QG4080	199.6584	13.361744644879431	13
QG4103	264.999	17.734535432260326	18
QG4135	241.80666666666667	16.182434264871794	16
QG4138	210.68933333333334	14.099968102518522	14
QG4151	203.676	13.630614601191148	14
QG4193	178.03050000000002	11.914340092879677	12
QG4226	209.874	14.045403527221623	14
QG4228	192.467	12.880474383076342	13
QG536	166.54033333333334	11.14538335012753	11
QG556	798.226	53.419700753404456	53
QG557	665.395	44.530248053573246	45
QW947	122.144	8.174246302204933	8
QX1211	442.943	29.64308668323912	30
QX1212	1001.2166666666667	67.00445077290696	67
QX1233	313.071	20.951659222537337	21
QX1791	118.928	7.959021844942265	8
QX1792	304.835	20.400481165940533	20
QX1793	206.181	13.79825678571944	14
QX1794	512.429	34.29330018987892	34
RC301	639.113076923077	42.77138218602042	43
TWN2530	175.071	11.716281392236375	12
TWN2542	182.61466666666666	12.22112640595024	12
WN2001	279.78027272727275	18.723742957253705	19
WN2002	162.475	10.873318934624265	11
WN2033	195.51833333333332	13.084678848435217	13
WN2050	131.75685714285714	8.81756780758894	9
WN2063	155.009	10.373671609399432	10
WN2064	99.4388	6.65474557240385	7
WN2066	163.1646	10.919469054564669	11
WN2068	164.99775	11.04214900289522	11
WN2069	154.535	10.341950094243181	10
WN2082	147.8945	9.897547728430764	10
WN2086	138.5125	9.26967588202581	9
XZ1513	214.8415	14.37784366759858	14
XZ1514	120.969	8.095611744591862	8
XZ1515	179.511	12.013419635472143	12
XZ1516	78.3406	5.2427901482063435	5
XZ1672	309.021	20.68062096012633	21
XZ1734	153.681	10.284797828539727	10
XZ1735	139.846	9.358917739538176	9
XZ1756	156.117	10.447822324152863	10
XZ2018	194.236	12.998861219176357	13
XZ2019	227.299	15.211537285866507	15
XZ2020	427.127	28.584632076253325	29
XZ2211	167.9265	11.238149820435032	11
