strain	length_estimate
ECA2155	206.485
ECA2159	196.021
ECA2163	202.763
ECA2167	205.152
ECA2171	207.763
ECA2175	196.961
ECA2179	176.656
ECA2183	141.182
ECA2187	168.804
ECA2191	164.556
ECA2195	128.061
ECA2199	226.066
ECA2203	137.108
ECA2207	126.144
ECA2247	520.646
ECA2249	344.075
ECA2251	510.723
ECA2253	313.824
ECA2255	338.87
ECA2281	195.554
ECA2283	208.246
ECA2285	214.749
ECA2287	196.675
ECA2289	145.761
ECA2291	150.283
ECA2307	138.804
ECA2309	206.974
ECA2311	226.418
ECA2313	198.847
ECA2315	204.347
ECA2319	157.894
ECA2321	175.925
ECA2322	255.957
ECA2324	383.489
ECA2326	404.812
ECA2328	357.479
ECA2330	325.549
ECA2332	400.119
ECA2334	455.298
ECA2336	156.702
ECA2338	211.275
ECA2340	411.295
ECA2342	350.028
ECA2344	351.095
ECA2348	229.508
ECA2350	244.984
ECA2352	260.942
ECA2354	208.53
ECA2356	247.068
ECA2358	284.032
ECA2360	172.464
ECA2362	271.887
ECA2365	119.588
ECA2367	112.947
ECA2375	168.001
ECA2377	177.042
ECA2401	101.395
ECA2403	171.361
ECA2405	182.118
ECA2413	196.586
ECA2415	191.105
ECA2417	214.894
ECA2419	250.667
ECA2421	212.801
ECA2423	247.703
ECA2429	184.874
ECA243	291.623
ECA2431	221.48
ECA2433	189.764
ECA2435	200.489
ECA2437	201.139
ECA2439	186.711
ECA2443	158.036
ECA2445	154.697
ECA245	141.103
ECA2452	170.454
ECA246	173.57
ECA2467	235.934
ECA2473	201.094
ECA2475	150.615
ECA2477	98.7095
ECA2479	156.244
ECA248	776.782
ECA2481	222.352
ECA2482	195.748
ECA2485	164.162
ECA2487	158.089
ECA2489	210.159
ECA249	226.347
ECA250	305.117
ECA251	636.56
ECA2521	190.072
ECA2522	218.969
ECA2523	186.951
ECA2524	171.228
ECA2525	235.09
ECA2526	254.188
ECA2527	222.139
ECA2528	195.643
ECA2529	271.147
ECA253	314.315
ECA2532	220.047
ECA2533	234.845
ECA2534	258.119
ECA2535	251.366
ECA2536	245.156
ECA2537	226.161
ECA254	108.039
ECA2546	169.611
ECA2547	137.739
ECA2548	165.993
ECA2549	184.205
ECA2550	171.346
ECA2551	157.35
ECA2552	164.788
ECA2553	149.377
ECA2554	170.71
ECA2555	166.599
ECA2556	257.248
ECA2557	240.109
ECA2558	235.233
ECA2559	225.282
ECA2560	176.048
ECA2561	154.296
ECA2562	189.773
ECA2563	187.961
ECA2564	174.241
ECA2565	173.401
ECA2566	182.389
ECA2567	173.235
ECA2568	171.8
ECA2569	140.503
ECA2570	153.151
ECA2571	252.298
ECA2572	262.107
ECA2573	225.129
ECA2574	168.681
ECA2575	173.668
ECA2576	158.142
ECA2577	163.954
ECA2578	169.981
ECA2579	145.206
ECA2580	162.624
ECA2581	232.959
ECA2582	124.598
ECA2583	184.3
ECA2584	184.655
ECA2585	165.447
ECA2586	194.355
ECA2589	167.975
ECA259	305.644
ECA2590	181.158
ECA2591	161.979
ECA2592	167.431
ECA2593	158.348
ECA2594	168.598
ECA2595	151.803
ECA2596	182.771
ECA2597	142.475
ECA2598	165.557
ECA2599	283.641
ECA2600	335.25
ECA2601	279.607
ECA2602	246.447
ECA2603	148.366
ECA2605	209.793
ECA2606	211.462
ECA2607	253.961
ECA2608	237.287
ECA2609	220.032
ECA2610	245.385
ECA2611	246.276
ECA2612	473.624
ECA2615	160.934
ECA2641	161.704
ECA2642	158.84
ECA2643	199.662
ECA2644	159.152
ECA2648	245.468
ECA2649	231.714
ECA2650	242.395
ECA2651	185.427
ECA2652	204.613
ECA2653	194.293
ECA2654	570.849
ECA2656	542.755
ECA2657	238.955
ECA2658	468.666
ECA2659	239.635
ECA2660	170.212
ECA2672	167.447
ECA2673	115.886
ECA2674	148.06
ECA2675	213.879
ECA2676	150.853
ECA2677	202.768
ECA2678	213.67
ECA2679	221.979
ECA2686	211.185
ECA347	234.945
ECA348	412.149
ECA349	482.616
ECA350	474.02
ECA36	377.661
ECA363	177.413
ECA369	838.442
ECA372	224.632
ECA393	252.616
ECA394	226.544
ECA395	254.842
ECA396	200.312
ECA397	179.715
ECA398	378.634
ECA399	201.186
ECA551	99.4815
ECA552	98.9053
ECA571	99.0309
ECA572	113.137
ECA589	111.801
ECA592	78.5206
ECA593	331.307
ECA594	128.076
ECA615	127.391
ECA616	75.4958
ECA640	297.61
ECA694	244.587
ECA695	230.498
ECA701	185.55
ECA702	173.578
ECA703	377.118
ECA704	231.606
ECA705	184.055
ECA706	155.953
ECA707	272.078
ECA708	252.786
ECA709	235.21
ECA710	162.126
ECA711	263.941
ECA712	261.115
ECA713	235.413
ECA714	214.476
ECA715	248.856
ECA716	235.515
ECA717	172.356
ECA718	145.153
ECA719	235.801
ECA720	242.626
ECA721	140.129
ECA722	136.981
ECA723	169.697
ECA724	192.832
ECA725	218.722
ECA726	230.169
ECA727	259.086
ECA728	158.415
ECA729	198.609
ECA730	234.545
ECA731	176.394
ECA732	170.152
ECA733	189.802
ECA734	162.769
ECA735	174.583
ECA736	177.343
ECA737	183.716
ECA738	165.122
ECA739	277.511
ECA740	57.2268
ECA741	129.258
ECA742	136.279
ECA743	166.817
ECA744	195.706
ECA745	152.21
ECA746	226.522
ECA747	154.119
ECA748	229.07
ECA749	281.503
ECA750	243.263
ECA751	179.326
ECA752	236.011
ECA753	238.303
ECA754	171.425
ECA755	184.916
ECA756	111.351
ECA757	333.642
ECA758	166.177
ECA759	174.798
ECA760	232.734
ECA761	181.399
ECA762	189.837
ECA763	267.406
ECA764	242.939
ECA765	231.686
ECA766	252.49
ECA767	184.286
ECA768	128.973
ECA769	218.131
ECA770	138.544
ECA771	129.283
ECA772	163.414
ECA773	162.498
ECA774	111.03
ECA775	176.796
ECA776	207.818
ECA777	248.311
ECA778	293.537
ECA779	131.785
ECA780	214.756
ECA781	275.922
ECA782	185.623
ECA783	218.67
ECA784	245.485
ECA785	287.694
ECA786	183.557
ECA787	145.487
ECA807	220.949
ECA808	208.545
ECA809	211.645
ECA810	281.856
ECA811	258.371
ECA812	181.12
ECA813	179.274
ECA822	149.434
ECA922	145.454
ECA923	131.916
ECA924	155.647
ECA925	131.937
ECA926	336.093
ECA927	154.362
ECA928	379.041
ECA930	296.672
ED3005	138.365
ED3011	781.674
ED3012	467.155
ED3017	279.65
ED3040	154.702
ED3046	265.927
ED3048	215.438
ED3049	607.784
ED3052	91.6412
ED3073	184.585
ED3077	147.392
EG4347	337.045
EG4349	108.425
EG4724	406.606
EG4725	224.705
EG4946	272.077
GXW1	131.089
JR4305	241.505
JT11398	578.381
JU1088	293.626
JU1172	330.906
JU1200	253.678
JU1212	185.573
JU1213	189.418
JU1242	137.88
JU1246	152.558
JU1249	185.489
JU1395	163.991
JU1400	93.8886
JU1409	214.895
JU1440	117.263
JU1491	149.683
JU1511	112.277
JU1516	105.554
JU1530	254.615
JU1543	223.569
JU1568	188.573
JU1580	222.717
JU1581	205.976
JU1586	238.277
JU1652	279.191
JU1656	122.781
JU1666	90.3585
JU1762	99.7411
JU1770	95.4903
JU1792	139.565
JU1793	138.814
JU1807	75.9676
JU1808	168.519
JU1896	219.726
JU1920	97.9736
JU1922	118.272
JU1924	276.25
JU1926	121.869
JU1929	139.568
JU1931	105.897
JU1934	112.487
JU1941	115.112
JU1960	965.15
JU2001	125.133
JU2007	79.9157
JU2016	213.354
JU2017	85.2482
JU2106	101.539
JU2131	119.824
JU2139	234.231
JU2141	99.275
JU2151	255.865
JU2234	254.179
JU2250	54.0955
JU2257	104.434
JU2287	97.0387
JU2316	78.6536
JU2460	52.1519
JU2464	208.374
JU2466	140.536
JU2467	110.971
JU2468	121.535
JU2478	238.256
JU2513	113.466
JU2519	114.515
JU2522	146.241
JU2526	85.8289
JU2527	91.4015
JU2534	361.603
JU2565	227.985
JU2566	151.977
JU2570	86.3859
JU2572	230.014
JU2575	72.539
JU2576	471.377
JU2578	93.5414
JU258	432
JU2581	143.719
JU2586	295.094
JU2587	299.395
JU2592	224.236
JU2593	178.808
JU2600	208.045
JU2604	105.348
JU2605	178.424
JU2610	166.224
JU2619	75.006
JU2800	75.8444
JU2802	128.089
JU2811	122.103
JU2825	231.221
JU2828	135.717
JU2829	68.9565
JU2830	77.2176
JU2838	92.9312
JU2841	75.1633
JU2853	126.187
JU2860	194.92
JU2862	108.549
JU2866	119.01
JU2878	140.92
JU2879	97.3007
JU2906	201.022
JU2907	156.136
JU2908	193.766
JU310	100.994
JU311	120.656
JU312	110.733
JU3125	177.507
JU3127	213.181
JU3128	149.647
JU3131	284.218
JU3132	122.641
JU3133	184.941
JU3134	220.589
JU3135	164.506
JU3136	295.298
JU3137	331.765
JU3138	184.398
JU3139	197.221
JU3140	128.641
JU3141	154.811
JU3142	206.372
JU3144	149.765
JU315	119.723
JU3166	71.6773
JU3167	70.4363
JU3169	62.9852
JU3224	161.018
JU3225	186.977
JU3226	255.17
JU3227	258.684
JU3228	257.977
JU323	110.205
JU3271	129.656
JU3280	156.171
JU3282	122.358
JU3291	144.874
JU3318	218.3
JU3398	113.39
JU3399	146.372
JU3400	132.448
JU3401	140.265
JU3402	137.945
JU3403	139.368
JU345	145.811
JU346	322.057
JU360	307.074
JU363	283.809
JU367	120.958
JU3785	169.928
JU3786	185.743
JU3791	204.003
JU3795	174.16
JU393	157.153
JU394	307.89
JU397	141.106
JU4047	141.489
JU4048	157.253
JU4054	140.909
JU406	131.454
JU4067	133.871
JU4069	154.051
JU4071	215.832
JU4072	153.897
JU4073	198.557
JU4074	175.021
JU4075	145.344
JU4082	148.832
