isotype	mean_length	sd
341	8	NA
342	5	NA
343	5	NA
344	6	NA
345	3	NA
346	8	NA
347	4	NA
348	4	NA
349	8	NA
350	4	NA
351	7.5	2.258317958127243
352	5	NA
353	10	NA
354	6	NA
355	4	NA
356	11	NA
357	5	NA
358	4	NA
359	4	NA
360	5	0
361	5	NA
362	9	NA
363	5	NA
364	4	NA
365	6	NA
366	7	NA
367	4	NA
368	6	NA
369	7	NA
370	10.5	0.7071067811865476
371	6	1
372	3	NA
373	5.25	0.5
374	5	1.4142135623730951
375	14	NA
376	8	1.7320508075688772
377	10	NA
378	5	NA
379	6	NA
380	7	NA
381	3.5	0.7071067811865476
382	6	NA
383	2	NA
384	5	NA
385	2	NA
386	5	NA
387	7	NA
388	4	NA
389	4	1
390	13	NA
391	8.5	2.1213203435596424
392	2	NA
393	5	NA
394	4	NA
395	3	NA
396	5	NA
397	2	NA
398	5	NA
399	4	0
400	4	NA
401	7	NA
402	3.5	0.7071067811865476
403	3	NA
404	4	1
405	5	NA
406	5	NA
407	5	NA
408	6	NA
409	4	NA
410	4.5	1.0488088481701516
411	3	NA
412	5.72972972972973	1.7582922372551133
413	6.5	3.5355339059327378
414	7	NA
415	5.911764705882353	1.8646251887374452
416	5.333333333333333	2.0816659994661326
417	14.875	2.6801741236966925
418	6.5	2.6457513110645907
419	13	1.4142135623730951
420	7	0
421	9	NA
422	2	NA
423	10.307692307692308	2.657837949180229
424	4.636363636363637	0.674199862463242
425	8	0
426	7	NA
427	7.8	0.7888106377466155
428	7	1.7320508075688772
429	5.8	1.0954451150103321
430	4.3	1.4181364924121764
431	11.363636363636363	4.006812380751743
432	7	0
433	9	0
434	7	NA
435	8	NA
436	8.5	0.7071067811865476
437	9	0
438	10.571428571428571	3.5523298860110977
439	3	0
440	8	NA
441	8.5	3.5355339059327378
442	8	NA
443	3	NA
444	4	NA
445	2	1.4142135623730951
446	8	4.242640687119285
447	6	NA
448	5	NA
449	10	NA
450	11	NA
451	9	NA
452	4	NA
453	10.333333333333334	1.5275252316519468
454	5.181818181818182	0.873862897505303
455	6	NA
456	6	NA
457	12	NA
458	5	NA
459	11	NA
460	4	NA
461	9	NA
462	9	NA
463	9	NA
464	5	1.4142135623730951
465	10	5.291502622129181
466	3.3333333333333335	1.5275252316519468
467	9	4.301162633521313
468	2	NA
469	6.666666666666667	2.0816659994661326
470	5.25	2.187627547301936
471	3	NA
472	2	NA
473	6	NA
474	4	NA
475	2.6666666666666665	0.5773502691896257
476	4	NA
477	2	NA
478	2	NA
479	9	NA
480	8	NA
481	8	2.8284271247461903
482	8	NA
483	8	NA
484	5.5	0.7071067811865476
485	12	NA
486	12	2.6457513110645907
487	6	NA
488	13	NA
489	3	NA
490	2.3333333333333335	0.5773502691896257
491	3	0
492	4.333333333333333	0.5773502691896257
493	3.25	0.5
494	4	0
495	5	1.7320508075688772
496	6	NA
497	7	2
498	4	NA
499	5	NA
500	4	0
501	3	0
502	9.666666666666666	2.3380903889000244
503	4	NA
504	3.6	1.140175425099138
505	6.6	1.51657508881031
506	3	NA
507	3.25	0.5
508	5	NA
509	4	NA
510	4	NA
511	10	NA
512	3	NA
513	4.818181818181818	1.0787197799411874
514	6	1.5811388300841898
515	6	NA
516	5	2.8284271247461903
517	6.666666666666667	1.1547005383792515
518	7.25	1.5
519	4	NA
520	6.5	2.1213203435596424
521	8	NA
522	11.5	6.363961030678928
523	4	0
524	11.75	2.0056737702645644
525	9.666666666666666	0.5773502691896257
526	5.5	0.7071067811865476
527	5.333333333333333	0.5773502691896257
528	5	NA
529	9.166666666666666	2.9944392908634274
530	3.6666666666666665	0.5773502691896257
531	4	0
532	9.5	0.7071067811865476
533	3.5	2.1213203435596424
534	5	1.4142135623730951
535	6	NA
536	8	1.4142135623730951
537	6.375	1.0606601717798212
538	4	NA
539	4	NA
540	8	NA
541	6	NA
542	5	NA
543	12	NA
544	7.5	0.7071067811865476
545	3	NA
546	8	NA
547	5	NA
548	6	NA
549	10	NA
550	5	NA
551	5	1.4142135623730951
552	8	1.4142135623730951
553	19	NA
554	8	NA
555	12	NA
556	3	NA
557	8.8	1.4832396974191326
558	14.2	2.588435821108957
559	9	NA
560	14	NA
561	16	NA
562	11	NA
563	12	NA
564	7	NA
565	12	NA
566	5	2.345207879911715
567	16	NA
568	11	NA
569	7	NA
570	5	NA
571	6	NA
572	10	NA
573	10	NA
574	6	NA
575	7	NA
576	6	NA
577	3	NA
578	5	NA
579	5	NA
580	5	NA
581	5	NA
582	3	NA
583	6	NA
584	3	NA
585	5	NA
586	6	NA
587	4	NA
588	7	NA
589	6	1.4142135623730951
590	6	NA
591	6	NA
592	4	NA
593	5	NA
594	6	NA
595	5	NA
596	6	NA
597	4	1.4142135623730951
598	5	NA
