strain	length_estimate	isotype	release	isotype_ref_strain	wgs_seq
ECA1264	191.107	ECA1281	20200815	FALSE	TRUE
ECA1265	197.602	ECA1288	20200815	FALSE	TRUE
ECA1266	191.994	ECA1288	20200815	FALSE	TRUE
ECA1267	173.278	ECA1269	20200815	FALSE	TRUE
ECA1268	156.234	ECA1269	20200815	FALSE	TRUE
ECA1269	151.908	ECA1269	20200815	TRUE	TRUE
ECA1270	148.683	ECA1271	20200815	FALSE	TRUE
ECA1271	183.973	ECA1271	20200815	TRUE	TRUE
ECA1272	221.01	ECA1247	20200815	FALSE	TRUE
ECA1273	188.22	ECA1281	20200815	FALSE	TRUE
ECA1274	226.915	ECA1247	20200815	FALSE	TRUE
ECA1275	188.624	ECA1281	20200815	FALSE	TRUE
ECA1276	149.408	ECA1276	20200815	TRUE	TRUE
ECA1277	153.585	ECA1276	20200815	FALSE	TRUE
ECA1278	159.498	ECA1278	20200815	TRUE	TRUE
ECA1279	192.3	ECA1281	20200815	FALSE	TRUE
ECA1281	196.408	ECA1281	20200815	TRUE	TRUE
ECA1282	210.358	ECA1281	20200815	FALSE	TRUE
ECA1283	224.339	ECA1283	20200815	TRUE	TRUE
ECA1284	228.611	ECA1284	20200815	TRUE	TRUE
ECA1285	248.3	ECA1284	20200815	FALSE	TRUE
ECA1286	180.034	ECA1286	20200815	TRUE	TRUE
ECA1287	192.076	ECA1287	20200815	TRUE	TRUE
ECA1288	200.148	ECA1288	20200815	TRUE	TRUE
ECA1289	185.315	ECA1289	20200815	TRUE	TRUE
ECA1290	167.6	ECA1286	20200815	FALSE	TRUE
ECA1291	204.125	ECA760	20200815	FALSE	TRUE
ECA1292	192.46	ECA1298	20200815	FALSE	TRUE
ECA1293	167.463	ECA1293	20200815	TRUE	TRUE
ECA1294	175.036	ECA1293	20200815	FALSE	TRUE
ECA1295	192.864	ECA1298	20200815	FALSE	TRUE
ECA1296	194.205	ECA1298	20200815	FALSE	TRUE
ECA1297	213.805	ECA1298	20210121	FALSE	TRUE
ECA1298	195.682	ECA1298	20200815	TRUE	TRUE
ECA1316	267.679	ECA1316	20210121	TRUE	TRUE
ECA1385	246.688	ECA760	20200815	FALSE	TRUE
ECA1389	185.005	ECA1413	20200815	FALSE	TRUE
ECA1391	182.816	ECA1413	20200815	FALSE	TRUE
ECA1409	128.062	ECA1409	20210121	TRUE	TRUE
ECA1413	165.841	ECA1413	20200815	TRUE	TRUE
ECA1415	159.805	ECA1413	20200815	FALSE	TRUE
ECA1441	200.146	ECA724	20200815	FALSE	TRUE
ECA1465	145.384	ECA1493	20200815	FALSE	TRUE
