strain	length_estimate	isotype	release	isotype_ref_strain	wgs_seq
ECA2582	124.598	ECA2546	20210121	FALSE	TRUE
ECA2583	184.3	ECA2583	20210121	TRUE	TRUE
ECA2584	184.655	ECA2584	20210121	TRUE	TRUE
ECA2585	165.447	ECA2672	20210121	FALSE	TRUE
ECA2586	194.355	ECA2584	20210121	FALSE	TRUE
ECA2589	167.975	ECA2594	20210121	FALSE	TRUE
ECA259	305.644	PB306	20160408	TRUE	TRUE
ECA2590	181.158	ECA2595	20210121	FALSE	TRUE
ECA2591	161.979	ECA2594	20210121	FALSE	TRUE
ECA2592	167.431	ECA2594	20210121	FALSE	TRUE
ECA2593	158.348	ECA2595	20210121	FALSE	TRUE
ECA2594	168.598	ECA2594	20210121	TRUE	TRUE
ECA2595	151.803	ECA2595	20210121	TRUE	TRUE
ECA2596	182.771	ECA2584	20210121	FALSE	TRUE
ECA2597	142.475	ECA2584	20210121	FALSE	TRUE
ECA2598	165.557	ECA2603	20210121	FALSE	TRUE
ECA2599	283.641	ECA2601	20210121	FALSE	TRUE
ECA2600	335.25	ECA2601	20210121	FALSE	TRUE
ECA2601	279.607	ECA2601	20210121	TRUE	TRUE
ECA2602	246.447	ECA2602	20210121	TRUE	TRUE
ECA2603	148.366	ECA2603	20210121	TRUE	TRUE
ECA2605	209.793	ECA2595	20210121	FALSE	TRUE
ECA2606	211.462	ECA2594	20210121	FALSE	TRUE
ECA2607	253.961	ECA2607	20210121	TRUE	TRUE
ECA2608	237.287	ECA2672	20210121	FALSE	TRUE
ECA2609	220.032	ECA2609	20210121	TRUE	TRUE
ECA2610	245.385	ECA2609	20210121	FALSE	TRUE
ECA2611	246.276	ECA2660	20210121	FALSE	TRUE
ECA2612	473.624	ECA2612	20210121	TRUE	TRUE
ECA2615	160.934	ECA2615	20210121	TRUE	TRUE
ECA2641	161.704	ECA2641	20210121	TRUE	TRUE
ECA2642	158.84	ECA2641	20210121	FALSE	TRUE
ECA2643	199.662	ECA2551	20210121	FALSE	TRUE
ECA2644	159.152	ECA2641	20210121	FALSE	TRUE
ECA2648	245.468	ECA2648	20210121	TRUE	TRUE
ECA2649	231.714	ECA2551	20210121	FALSE	TRUE
ECA2650	242.395	ECA2603	20210121	FALSE	TRUE
ECA2651	185.427	ECA2561	20210121	FALSE	TRUE
ECA2652	204.613	ECA2594	20210121	FALSE	TRUE
ECA2653	194.293	ECA2595	20210121	FALSE	TRUE
ECA2654	570.849	ECA2602	20210121	FALSE	TRUE
ECA2656	542.755	ECA2656	20210121	TRUE	TRUE
ECA2657	238.955	ECA2672	20210121	FALSE	TRUE
ECA2658	468.666	ECA2612	20210121	FALSE	TRUE
ECA2659	239.635	ECA2659	20210121	TRUE	TRUE
ECA2660	170.212	ECA2660	20210121	TRUE	TRUE
ECA2672	167.447	ECA2672	20210121	TRUE	TRUE
ECA2673	115.886	ECA2551	20210121	FALSE	TRUE
ECA2674	148.06	ECA2551	20210121	FALSE	TRUE
ECA2675	213.879	ECA2609	20210121	FALSE	TRUE
ECA2676	150.853	ECA2676	20210121	TRUE	TRUE
ECA347	234.945	ECA347	20180413	TRUE	TRUE
ECA348	412.149	ECA348	20170531	TRUE	TRUE
ECA349	482.616	ECA349	20170531	TRUE	TRUE
ECA350	474.02	ECA349	20170531	FALSE	TRUE
ECA36	377.661	ECA36	20160408	TRUE	TRUE
ECA363	177.413	ECA363	20170531	TRUE	TRUE
ECA369	838.442	ECA369	20170531	TRUE	TRUE
ECA372	224.632	ECA372	20170531	TRUE	TRUE
ECA393	252.616	ECA189	20170531	FALSE	TRUE
ECA394	226.544	ECA189	20180413	FALSE	TRUE
ECA395	254.842	ECA189	20170531	FALSE	TRUE
ECA396	200.312	ECA396	20170531	TRUE	TRUE
ECA397	179.715	ECA396	20170531	FALSE	TRUE
ECA398	378.634	ECA396	20170531	FALSE	TRUE
ECA399	201.186	ECA396	20170531	FALSE	TRUE
ECA551	99.4815	JU311	20170531	FALSE	TRUE
ECA552	98.9053	MY2573	20180413	FALSE	TRUE
ECA571	99.0309	ED3073	20180413	FALSE	TRUE
ECA572	113.137	ED3073	20180413	FALSE	TRUE
ECA589	111.801	JU1395	20160408	FALSE	TRUE
ECA592	78.5206	ECA592	20180413	TRUE	TRUE
ECA593	331.307	ECA593	20180413	TRUE	TRUE
ECA594	128.076	ECA594	20180413	TRUE	TRUE
ECA615	127.391	JU1581	20170531	FALSE	TRUE
ECA616	75.4958	JU1530	20160408	FALSE	TRUE
ECA640	297.61	ECA640	20180413	TRUE	TRUE
ECA694	244.587	ECA348	20210121	FALSE	TRUE
ECA695	230.498	ECA348	20210121	FALSE	TRUE
ECA701	185.55	ECA701	20180413	TRUE	TRUE
ECA702	173.578	ECA701	20180413	FALSE	TRUE
ECA703	377.118	ECA703	20180413	TRUE	TRUE
ECA704	231.606	ECA812	20180413	FALSE	TRUE
ECA705	184.055	ECA705	20180413	TRUE	TRUE
ECA706	155.953	ECA706	20180413	TRUE	TRUE
ECA707	272.078	ECA778	20180413	FALSE	TRUE
ECA708	252.786	ECA778	20180413	FALSE	TRUE
ECA709	235.21	ECA778	20180413	FALSE	TRUE
ECA710	162.126	ECA710	20180413	TRUE	TRUE
ECA711	263.941	ECA712	20180413	FALSE	TRUE
ECA712	261.115	ECA712	20180413	TRUE	TRUE
ECA713	235.413	ECA712	20180413	FALSE	TRUE
ECA714	214.476	ECA712	20180413	FALSE	TRUE
ECA715	248.856	ECA712	20180413	FALSE	TRUE
ECA716	235.515	ECA807	20180413	FALSE	TRUE
ECA717	172.356	ECA807	20180413	FALSE	TRUE
ECA718	145.153	ECA807	20180413	FALSE	TRUE
ECA719	235.801	ECA812	20180413	FALSE	TRUE
ECA720	242.626	ECA807	20180413	FALSE	TRUE
ECA721	140.129	ECA778	20180413	FALSE	TRUE
ECA722	136.981	ECA722	20180413	TRUE	TRUE
ECA723	169.697	ECA723	20180413	TRUE	TRUE
ECA724	192.832	ECA724	20180413	TRUE	TRUE
ECA725	218.722	ECA724	20180413	FALSE	TRUE
ECA726	230.169	ECA724	20180413	FALSE	TRUE
ECA727	259.086	ECA724	20180413	FALSE	TRUE
ECA728	158.415	ECA723	20180413	FALSE	TRUE
ECA729	198.609	ECA723	20180413	FALSE	TRUE
ECA730	234.545	ECA730	20180413	TRUE	TRUE
ECA731	176.394	ECA733	20180413	FALSE	TRUE
ECA732	170.152	ECA732	20180413	TRUE	TRUE
ECA733	189.802	ECA733	20180413	TRUE	TRUE
ECA734	162.769	ECA738	20180413	FALSE	TRUE
ECA735	174.583	ECA738	20180413	FALSE	TRUE
ECA736	177.343	ECA738	20180413	FALSE	TRUE
ECA737	183.716	ECA738	20180413	FALSE	TRUE
ECA738	165.122	ECA738	20180413	TRUE	TRUE
ECA739	277.511	ECA760	20180413	FALSE	TRUE
ECA740	57.2268	ECA740	20180413	TRUE	TRUE
ECA741	129.258	ECA741	20180413	TRUE	TRUE
ECA742	136.279	ECA742	20180413	TRUE	TRUE
ECA743	166.817	ECA743	20180413	TRUE	TRUE
ECA744	195.706	ECA744	20180413	TRUE	TRUE
ECA745	152.21	ECA745	20180413	TRUE	TRUE
ECA746	226.522	ECA746	20180413	TRUE	TRUE
ECA747	154.119	ECA745	20180413	FALSE	TRUE
ECA748	229.07	ECA812	20180413	FALSE	TRUE
ECA749	281.503	ECA760	20180413	FALSE	TRUE
ECA750	243.263	ECA812	20180413	FALSE	TRUE
ECA751	179.326	ECA812	20180413	FALSE	TRUE
ECA752	236.011	ECA760	20180413	FALSE	TRUE
ECA753	238.303	ECA760	20180413	FALSE	TRUE
ECA754	171.425	ECA760	20180413	FALSE	TRUE
ECA755	184.916	ECA812	20180413	FALSE	TRUE
ECA756	111.351	ECA778	20180413	FALSE	TRUE
ECA757	333.642	ECA778	20180413	FALSE	TRUE
ECA758	166.177	ECA760	20180413	FALSE	TRUE
ECA759	174.798	ECA812	20180413	FALSE	TRUE
ECA760	232.734	ECA760	20180413	TRUE	TRUE
ECA761	181.399	ECA812	20180413	FALSE	TRUE
ECA762	189.837	ECA812	20180413	FALSE	TRUE
ECA763	267.406	ECA778	20180413	FALSE	TRUE
ECA764	242.939	ECA778	20180413	FALSE	TRUE
ECA765	231.686	ECA778	20180413	FALSE	TRUE
ECA766	252.49	ECA778	20180413	FALSE	TRUE
ECA767	184.286	ECA778	20180413	FALSE	TRUE
ECA768	128.973	ECA768	20180413	TRUE	TRUE
ECA769	218.131	ECA760	20180413	FALSE	TRUE
ECA770	138.544	ECA807	20180413	FALSE	TRUE
ECA771	129.283	ECA812	20180413	FALSE	TRUE
ECA772	163.414	ECA768	20180413	FALSE	TRUE
ECA773	162.498	ECA812	20180413	FALSE	TRUE
ECA774	111.03	ECA812	20180413	FALSE	TRUE
ECA775	176.796	ECA812	20180413	FALSE	TRUE
ECA776	207.818	ECA812	20180413	FALSE	TRUE
ECA777	248.311	ECA777	20180413	TRUE	TRUE
ECA778	293.537	ECA778	20180413	TRUE	TRUE
ECA779	131.785	ECA760	20180413	FALSE	TRUE
ECA780	214.756	ECA760	20180413	FALSE	TRUE
ECA781	275.922	ECA778	20180413	FALSE	TRUE
ECA782	185.623	ECA812	20180413	FALSE	TRUE
ECA783	218.67	ECA812	20180413	FALSE	TRUE
ECA784	245.485	ECA760	20180413	FALSE	TRUE
ECA785	287.694	ECA760	20180413	FALSE	TRUE
ECA786	183.557	ECA812	20180413	FALSE	TRUE
ECA787	145.487	ECA812	20180413	FALSE	TRUE
ECA807	220.949	ECA807	20180413	TRUE	TRUE
ECA808	208.545	ECA760	20180413	FALSE	TRUE
ECA809	211.645	ECA812	20180413	FALSE	TRUE
ECA810	281.856	ECA778	20180413	FALSE	TRUE
ECA811	258.371	ECA778	20180413	FALSE	TRUE
ECA812	181.12	ECA812	20180413	TRUE	TRUE
ECA813	179.274	ECA812	20180413	FALSE	TRUE
ECA822	149.434	ECA705	20180413	FALSE	TRUE
ECA922	145.454	ECA923	20180413	FALSE	TRUE
ECA923	131.916	ECA923	20180413	TRUE	TRUE
ECA924	155.647	ECA923	20180413	FALSE	TRUE
ECA925	131.937	ECA923	20180413	FALSE	TRUE
ECA926	336.093	ECA928	20180413	FALSE	TRUE
ECA927	154.362	ECA923	20180413	FALSE	TRUE
ECA928	379.041	ECA928	20180413	TRUE	TRUE
ECA930	296.672	ECA930	20180413	TRUE	TRUE
ED3005	138.365	ED3005	20160408	TRUE	TRUE
ED3011	781.674	ED3011	20160408	TRUE	TRUE
ED3012	467.155	ED3012	20160408	TRUE	TRUE
ED3017	279.65	ED3017	20160408	TRUE	TRUE
ED3040	154.702	ED3040	20160408	TRUE	TRUE
ED3046	265.927	ED3046	20160408	TRUE	TRUE
ED3048	215.438	ED3048	20160408	TRUE	TRUE
ED3049	607.784	ED3049	20160408	TRUE	TRUE
ED3052	91.6412	ED3052	20160408	TRUE	TRUE
ED3073	184.585	ED3073	20160408	TRUE	TRUE
ED3077	147.392	ED3077	20160408	TRUE	TRUE
EG4347	337.045	EG4347	20160408	TRUE	TRUE
EG4349	108.425	EG4349	20160408	TRUE	TRUE
EG4724	406.606	EG4724	20160408	TRUE	TRUE
EG4725	224.705	EG4725	20160408	TRUE	TRUE
EG4946	272.077	EG4946	20160408	TRUE	TRUE
GXW1	131.089	GXW1	20160408	TRUE	TRUE
JR4305	241.505	JR4305	20210121	TRUE	TRUE
JT11398	578.381	JT11398	20160408	TRUE	TRUE
JU1088	293.626	JU1088	20160408	TRUE	TRUE
JU1172	330.906	JU1172	20160408	TRUE	TRUE
JU1200	253.678	JU1200	20160408	TRUE	TRUE
JU1212	185.573	JU1212	20160408	TRUE	TRUE
JU1213	189.418	JU1213	20160408	TRUE	TRUE
JU1242	137.88	JU1242	20160408	TRUE	TRUE
JU1246	152.558	JU1246	20160408	TRUE	TRUE
JU1249	185.489	JU1249	20170531	TRUE	TRUE
JU1395	163.991	JU1395	20160408	TRUE	TRUE
JU1400	93.8886	JU1400	20160408	TRUE	TRUE
JU1409	214.895	JU1409	20160408	TRUE	TRUE
JU1440	117.263	JU1440	20160408	TRUE	TRUE
JU1491	149.683	JU1491	20160408	TRUE	TRUE
JU1511	112.277	JU792	20200815	FALSE	TRUE
JU1516	105.554	JU1581	20160408	FALSE	TRUE
JU1530	254.615	JU1530	20160408	TRUE	TRUE
JU1543	223.569	JU1543	20170531	TRUE	TRUE
JU1568	188.573	JU1568	20160408	TRUE	TRUE
JU1580	222.717	JU1793	20200815	FALSE	TRUE
JU1581	205.976	JU1581	20160408	TRUE	TRUE
JU1586	238.277	JU1586	20160408	TRUE	TRUE
JU1652	279.191	JU1652	20160408	TRUE	TRUE
JU1656	122.781	JU1213	20170531	FALSE	TRUE
JU1666	90.3585	JU1666	20170531	TRUE	TRUE
JU1762	99.7411	JU1213	20170531	FALSE	TRUE
JU1770	95.4903	JU1213	20170531	FALSE	TRUE
JU1792	139.565	JU1792	20170531	TRUE	TRUE
JU1793	138.814	JU1793	20170531	TRUE	TRUE
JU1807	75.9676	JU1581	20170531	FALSE	TRUE
JU1808	168.519	JU1808	20170531	TRUE	TRUE
JU1896	219.726	JU1896	20160408	TRUE	TRUE
JU1920	97.9736	JU1793	20170531	FALSE	TRUE
JU1922	118.272	JU1793	20170531	FALSE	TRUE
JU1924	276.25	JU2600	20170531	FALSE	TRUE
JU1926	121.869	JU2600	20200815	FALSE	TRUE
JU1929	139.568	JU1793	20170531	FALSE	TRUE
JU1931	105.897	JU1793	20200815	FALSE	TRUE
JU1934	112.487	JU1934	20170531	TRUE	TRUE
JU1941	115.112	JU1581	20200815	FALSE	TRUE
JU1960	965.15	CB4858	20170531	FALSE	TRUE
JU2001	125.133	JU2001	20160408	TRUE	TRUE
JU2007	79.9157	JU2007	20160408	TRUE	TRUE
JU2016	213.354	JU2016	20170531	TRUE	TRUE
JU2017	85.2482	JU2017	20170531	TRUE	TRUE
JU2106	101.539	JU2106	20170531	TRUE	TRUE
JU2131	119.824	JU2131	20170531	TRUE	TRUE
JU2139	234.231	JU1793	20170531	FALSE	TRUE
JU2141	99.275	JU2141	20170531	TRUE	TRUE
JU2151	255.865	JU2600	20170531	FALSE	TRUE
JU2234	254.179	JU2234	20170531	TRUE	TRUE
JU2250	54.0955	JU2250	20170531	TRUE	TRUE
JU2257	104.434	JU2257	20170531	TRUE	TRUE
JU2287	97.0387	JU2257	20170531	FALSE	TRUE
JU2316	78.6536	JU2316	20160408	TRUE	TRUE
JU2460	52.1519	JU792	20170531	FALSE	TRUE
JU2464	208.374	JU2464	20160408	TRUE	TRUE
JU2466	140.536	JU2466	20160408	TRUE	TRUE
JU2467	110.971	JU2464	20160408	FALSE	TRUE
JU2468	121.535	JU2464	20160408	FALSE	TRUE
JU2478	238.256	JU2478	20170531	TRUE	TRUE
JU2513	113.466	JU2513	20160408	TRUE	TRUE
JU2519	114.515	JU2519	20160408	TRUE	TRUE
JU2522	146.241	JU2522	20160408	TRUE	TRUE
JU2526	85.8289	JU2526	20160408	TRUE	TRUE
JU2527	91.4015	JU792	20170531	FALSE	TRUE
JU2534	361.603	JU2534	20170531	TRUE	TRUE
JU2565	227.985	JU2565	20170531	TRUE	TRUE
JU2566	151.977	JU2566	20170531	TRUE	TRUE
JU2570	86.3859	JU2570	20170531	TRUE	TRUE
JU2572	230.014	JU2572	20170531	TRUE	TRUE
JU2575	72.539	JU2575	20170531	TRUE	TRUE
JU2576	471.377	JU2576	20170531	TRUE	TRUE
JU2578	93.5414	JU2578	20170531	TRUE	TRUE
JU258	432	JU258	20160408	TRUE	TRUE
JU2581	143.719	JU2581	20170531	TRUE	TRUE
JU2586	295.094	JU2586	20170531	TRUE	TRUE
JU2587	299.395	JU2587	20170531	TRUE	TRUE
JU2592	224.236	JU2592	20170531	TRUE	TRUE
JU2593	178.808	JU2593	20170531	TRUE	TRUE
JU2600	208.045	JU2600	20170531	TRUE	TRUE
JU2604	105.348	JU1793	20170531	FALSE	TRUE
JU2605	178.424	JU1793	20170531	FALSE	TRUE
JU2610	166.224	JU2610	20170531	TRUE	TRUE
JU2619	75.006	JU2619	20170531	TRUE	TRUE
JU2800	75.8444	JU2800	20170531	TRUE	TRUE
JU2802	128.089	JU2800	20170531	FALSE	TRUE
JU2811	122.103	JU2811	20170531	TRUE	TRUE
JU2825	231.221	JU2825	20170531	TRUE	TRUE
JU2828	135.717	JU2829	20170531	FALSE	TRUE
JU2829	68.9565	JU2829	20170531	TRUE	TRUE
JU2830	77.2176	JU2829	20170531	FALSE	TRUE
JU2838	92.9312	JU2838	20170531	TRUE	TRUE
JU2841	75.1633	JU2841	20170531	TRUE	TRUE
JU2853	126.187	JU2853	20170531	TRUE	TRUE
JU2860	194.92	JU1200	20170531	FALSE	TRUE
JU2862	108.549	JU2862	20170531	TRUE	TRUE
JU2866	119.01	JU2866	20170531	TRUE	TRUE
JU2878	140.92	JU2878	20170531	TRUE	TRUE
JU2879	97.3007	JU2879	20170531	TRUE	TRUE
JU2906	201.022	JU2906	20170531	TRUE	TRUE
JU2907	156.136	JU2907	20170531	TRUE	TRUE
JU2908	193.766	JU2907	20170531	FALSE	TRUE
JU310	100.994	JU310	20160408	TRUE	TRUE
JU311	120.656	JU311	20160408	TRUE	TRUE
JU312	110.733	JU311	20160408	FALSE	TRUE
JU3125	177.507	JU3125	20170531	TRUE	TRUE
JU3127	213.181	JU3127	20170531	TRUE	TRUE
JU3128	149.647	JU3128	20170531	TRUE	TRUE
JU3131	284.218	JU323	20170531	FALSE	TRUE
JU3132	122.641	JU3132	20170531	TRUE	TRUE
JU3133	184.941	JU1440	20170531	FALSE	TRUE
JU3134	220.589	JU3134	20170531	TRUE	TRUE
JU3135	164.506	JU3135	20170531	TRUE	TRUE
JU3136	295.298	MY2453	20170531	FALSE	TRUE
JU3137	331.765	JU3137	20170531	TRUE	TRUE
JU3138	184.398	JU2600	20170531	FALSE	TRUE
JU3139	197.221	JU1666	20170531	FALSE	TRUE
JU3140	128.641	JU3140	20170531	TRUE	TRUE
JU3141	154.811	JU3141	20180413	TRUE	TRUE
JU3142	206.372	JU792	20170531	FALSE	TRUE
JU3144	149.765	JU3144	20170531	TRUE	TRUE
JU315	119.723	JU311	20160408	FALSE	TRUE
JU3166	71.6773	JU3166	20180413	TRUE	TRUE
JU3167	70.4363	JU3167	20180413	TRUE	TRUE
JU3169	62.9852	JU3169	20180413	TRUE	TRUE
JU3224	161.018	JU3224	20180413	TRUE	TRUE
JU3225	186.977	JU3225	20180413	TRUE	TRUE
JU3226	255.17	JU3226	20180413	TRUE	TRUE
JU3227	258.684	JU3228	20180413	FALSE	TRUE
JU3228	257.977	JU3228	20180413	TRUE	TRUE
JU323	110.205	JU323	20160408	TRUE	TRUE
JU3271	129.656	JU1793	20180413	FALSE	TRUE
JU3280	156.171	JU3280	20180413	TRUE	TRUE
JU3282	122.358	JU3282	20180413	TRUE	TRUE
JU3291	144.874	JU3291	20180413	TRUE	TRUE
JU3318	218.3	JU3318	20200815	TRUE	TRUE
JU3398	113.39	JU1793	20200815	FALSE	TRUE
JU3399	146.372	JU1793	20200815	FALSE	TRUE
JU3400	132.448	JU1793	20200815	FALSE	TRUE
JU3401	140.265	JU1793	20200815	FALSE	TRUE
JU3402	137.945	JU1793	20200815	FALSE	TRUE
JU3403	139.368	JU1793	20200815	FALSE	TRUE
JU345	145.811	JU346	20170531	FALSE	TRUE
JU346	322.057	JU346	20160408	TRUE	TRUE
JU360	307.074	JU360	20160408	TRUE	TRUE
JU363	283.809	JU360	20160408	FALSE	TRUE
JU367	120.958	JU367	20160408	TRUE	TRUE
JU3785	169.928	JU1793	20210121	FALSE	TRUE
JU3786	185.743	JU1793	20210121	FALSE	TRUE
JU3791	204.003	JU2600	20210121	FALSE	TRUE
JU3795	174.16	JU3795	20210121	TRUE	TRUE
JU393	157.153	JU393	20160408	TRUE	TRUE
JU394	307.89	JU394	20160408	TRUE	TRUE
JU397	141.106	JU397	20160408	TRUE	TRUE
JU4047	141.489	JU4047	20210121	TRUE	TRUE
JU4048	157.253	JU4047	20210121	FALSE	TRUE
JU4054	140.909	JU4047	20210121	FALSE	TRUE
JU406	131.454	JU406	20160408	TRUE	TRUE
JU4067	133.871	JU4047	20210121	FALSE	TRUE
JU4069	154.051	JU4047	20210121	FALSE	TRUE
JU4071	215.832	JU4073	20210121	FALSE	TRUE
JU4072	153.897	JU4047	20210121	FALSE	TRUE
JU4073	198.557	JU4073	20210121	TRUE	TRUE
JU4074	175.021	JU4073	20210121	FALSE	TRUE
JU4075	145.344	JU4047	20210121	FALSE	TRUE
JU4082	148.832	JU4082	20210121	TRUE	TRUE
JU4085	163.409	JU4082	20210121	FALSE	TRUE
JU4098	212.736	JU4098	20210121	TRUE	TRUE
JU440	129.241	JU440	20160408	TRUE	TRUE
JU561	156.343	JU561	20160408	TRUE	TRUE
JU642	122.901	JU642	20160408	TRUE	TRUE
JU751	175.998	JU751	20160408	TRUE	TRUE
JU755	151.233	JU751	20210121	FALSE	TRUE
JU774	137.252	JU774	20160408	TRUE	TRUE
JU775	630.629	JU775	20160408	TRUE	TRUE
JU778	229.471	JU778	20160408	TRUE	TRUE
JU782	157.937	JU782	20160408	TRUE	TRUE
JU792	114.749	JU792	20160408	TRUE	TRUE
JU830	228.111	JU830	20160408	TRUE	TRUE
JU847	412.578	JU847	20160408	TRUE	TRUE
KR314	688.399	KR314	20160408	TRUE	TRUE
LKC34	364.793	LKC34	20160408	TRUE	TRUE
MY1	264.951	MY1	20160408	TRUE	TRUE
MY10	175.377	MY10	20160408	TRUE	TRUE
MY16	447.511	MY16	20160408	TRUE	TRUE
MY18	170.649	MY18	20160408	TRUE	TRUE
MY2001	189.321	MY2453	20180413	FALSE	TRUE
MY2004	157.741	MY2453	20170531	FALSE	TRUE
MY2011	155.9	MY2453	20170531	FALSE	TRUE
MY2014	180.754	MY2453	20170531	FALSE	TRUE
MY2022	436.378	RC301	20170531	FALSE	TRUE
MY2024	823.699	RC301	20170531	FALSE	TRUE
MY2042	148.351	MY920	20170531	FALSE	TRUE
MY2050	191.938	MY2453	20170531	FALSE	TRUE
MY2051	334.529	MY2453	20170531	FALSE	TRUE
MY2054	163.815	MY2453	20170531	FALSE	TRUE
MY2078	997.135	RC301	20170531	FALSE	TRUE
MY2079	115.316	MY679	20200815	FALSE	TRUE
MY2097	176.459	MY920	20180413	FALSE	TRUE
MY2099	314.085	MY795	20170531	FALSE	TRUE
MY2109	147.26	MY2741	20170531	FALSE	TRUE
MY2121	148.749	MY2453	20170531	FALSE	TRUE
MY2137	206.829	MY2453	20170531	FALSE	TRUE
MY2138	173.802	MY920	20170531	FALSE	TRUE
MY2142	132.495	MY2573	20170531	FALSE	TRUE
MY2143	182.506	MY2147	20170531	FALSE	TRUE
MY2144	141.499	MY2573	20170531	FALSE	TRUE
MY2147	190.63	MY2147	20170531	TRUE	TRUE
MY2198	116.707	MY2573	20170531	FALSE	TRUE
MY2199	194.662	MY2453	20170531	FALSE	TRUE
MY2208	143.442	MY2573	20170531	FALSE	TRUE
MY2212	225.107	MY2212	20170531	TRUE	TRUE
MY2224	146.978	MY2573	20170531	FALSE	TRUE
MY2239	153.015	MY2573	20180413	FALSE	TRUE
MY2282	156.079	MY2573	20170531	FALSE	TRUE
MY2288	190.919	MY2453	20170531	FALSE	TRUE
MY2291	548.679	RC301	20170531	FALSE	TRUE
MY2294	144.525	MY2573	20170531	FALSE	TRUE
MY23	562.037	MY23	20160408	TRUE	TRUE
MY2338	113.159	MY2573	20170531	FALSE	TRUE
MY2339	183.563	MY2453	20170531	FALSE	TRUE
MY2344	181.902	MY2535	20170531	FALSE	TRUE
MY2347	188.917	MY920	20170531	FALSE	TRUE
MY2373	121.728	MY920	20170531	FALSE	TRUE
MY2406	159.56	MY920	20170531	FALSE	TRUE
MY2434	145.432	MY2573	20170531	FALSE	TRUE
MY2443	141.244	MY2573	20170531	FALSE	TRUE
MY2453	163.067	MY2453	20170531	TRUE	TRUE
MY2479	156.618	MY920	20180413	FALSE	TRUE
MY2481	285.171	JU311	20170531	FALSE	TRUE
MY2491	110.793	MY2573	20170531	FALSE	TRUE
MY2502	223.825	MY2453	20170531	FALSE	TRUE
MY2530	130.751	MY2530	20170531	TRUE	TRUE
MY2532	167.386	MY2535	20170531	FALSE	TRUE
MY2535	171.512	MY2535	20170531	TRUE	TRUE
MY2541	235.342	MY2453	20170531	FALSE	TRUE
MY2573	155.296	MY2573	20170531	TRUE	TRUE
MY2579	192.902	MY2453	20170531	FALSE	TRUE
MY2585	431.781	MY2585	20170531	TRUE	TRUE
MY2622	167.009	MY2453	20180413	FALSE	TRUE
MY2623	552.157	MY2585	20170531	FALSE	TRUE
MY2630	538.637	RC301	20170531	FALSE	TRUE
MY2635	204.598	MY2713	20170531	FALSE	TRUE
MY2636	524.92	RC301	20170531	FALSE	TRUE
MY2640	559.168	RC301	20170531	FALSE	TRUE
MY2679	166.345	MY2713	20170531	FALSE	TRUE
MY2681	662.008	RC301	20170531	FALSE	TRUE
MY2684	606.14	RC301	20170531	FALSE	TRUE
MY2685	180.796	MY2693	20170531	FALSE	TRUE
MY2688	112.183	MY920	20170531	FALSE	TRUE
MY2689	179.262	MY2713	20170531	FALSE	TRUE
MY2691	535.997	RC301	20170531	FALSE	TRUE
MY2692	155.777	MY2741	20170531	FALSE	TRUE
MY2693	191.423	MY2693	20170531	TRUE	TRUE
MY2713	209.885	MY2713	20170531	TRUE	TRUE
MY2719	290.41	MY2693	20170531	FALSE	TRUE
MY2741	172.862	MY2741	20170531	TRUE	TRUE
MY508	159.931	MY2453	20180413	FALSE	TRUE
MY518	851.369	MY518	20170531	TRUE	TRUE
MY524	120.31	MY2453	20170531	FALSE	TRUE
MY538	207.33	MY795	20170531	FALSE	TRUE
MY559	125.177	MY2573	20170531	FALSE	TRUE
MY561	90.3885	MY2453	20170531	FALSE	TRUE
MY564	282.161	MY2453	20170531	FALSE	TRUE
MY570	146.906	MY2453	20170531	FALSE	TRUE
MY579	138.983	MY2573	20170531	FALSE	TRUE
MY589	146.525	MY920	20170531	FALSE	TRUE
MY673	241.517	MY795	20180413	FALSE	TRUE
MY679	194.825	MY679	20170531	TRUE	TRUE
MY684	664.252	RC301	20170531	FALSE	TRUE
MY710	146.041	MY2573	20170531	FALSE	TRUE
MY713	151.53	MY2453	20170531	FALSE	TRUE
MY741	131.315	MY920	20170531	FALSE	TRUE
MY772	128.066	MY772	20170531	TRUE	TRUE
MY792	136.854	MY2453	20170531	FALSE	TRUE
MY795	186.509	MY795	20170531	TRUE	TRUE
MY803	134.166	MY2713	20170531	FALSE	TRUE
MY804	185.306	MY2573	20180413	FALSE	TRUE
MY819	144.149	MY2453	20170531	FALSE	TRUE
MY864	153.554	MY2453	20170531	FALSE	TRUE
MY881	153.532	MY2535	20170531	FALSE	TRUE
MY882	638.017	RC301	20170531	FALSE	TRUE
MY887	105.487	MY920	20170531	FALSE	TRUE
MY904	154.08	MY2453	20180413	FALSE	TRUE
MY920	121.196	MY920	20170531	TRUE	TRUE
MY934	107.162	MY2573	20170531	FALSE	TRUE
MY965	112.762	MY2453	20170531	FALSE	TRUE
MY990	151.596	MY920	20170531	FALSE	TRUE
MY991	141.9	MY679	20170531	FALSE	TRUE
N2	278.182	N2	20160408	TRUE	TRUE
NIC1	245.091	NIC1	20160408	TRUE	TRUE
NIC1049	80.79	NIC1049	20170531	TRUE	TRUE
NIC1107	140.348	NIC1107	20170531	TRUE	TRUE
NIC1119	122.402	NIC1119	20180413	TRUE	TRUE
NIC1604	137.76	MY2573	20180413	FALSE	TRUE
NIC166	273.463	NIC166	20160408	TRUE	TRUE
NIC1779	258.153	NIC1779	20200815	TRUE	TRUE
