isotype	mean_length
JU2853	126.187
JU2862	108.549
JU2866	119.01
JU2878	140.92
JU2879	97.3007
JU2906	201.022
JU2907	174.951
JU310	100.994
JU311	147.1529
JU3125	177.507
JU3127	213.181
JU3128	149.647
JU3132	122.641
JU3134	220.589
JU3135	164.506
JU3137	331.765
JU3140	128.641
JU3141	154.811
JU3144	149.765
JU3166	71.6773
JU3167	70.4363
JU3169	62.9852
JU3224	161.018
JU3225	186.977
JU3226	255.17
JU3228	258.33050000000003
JU323	197.2115
JU3280	156.171
JU3282	122.358
JU3291	144.874
JU3318	218.3
JU346	233.93400000000003
JU360	295.4415
JU367	120.958
JU3795	174.16
JU393	157.153
JU394	307.89
JU397	141.106
JU4047	146.6877142857143
JU406	131.454
JU4073	196.47
JU4082	156.1205
JU4098	212.736
JU440	129.241
JU561	156.343
JU642	141.1882857142857
JU751	163.6155
JU774	137.252
JU775	630.629
JU778	229.471
JU782	157.937
JU792	115.39028
JU830	228.111
JU847	412.578
KR314	688.399
LKC34	364.793
MY1	264.951
MY10	175.377
MY16	447.511
MY18	170.649
MY2147	186.56799999999998
MY2212	225.107
MY23	315.45655
MY2453	179.58488333333332
MY2530	130.751
MY2535	213.961625
MY2573	136.999915
MY2585	491.96900000000005
MY2693	220.87633333333335
MY2713	178.8512
MY2741	158.63299999999998
MY518	851.369
MY679	150.68033333333332
MY772	128.066
MY795	237.36025
MY920	145.67207692307693
N2	233.512
NIC1	245.091
NIC1049	80.79
NIC1107	140.348
NIC1119	122.402
NIC166	273.463
NIC1779	258.153
NIC1780	252.785
NIC1782	186.957
NIC1783	195.895
NIC1785	211.761
NIC1786	182.041
NIC1787	163.309
NIC1788	177.3755
NIC1789	210.924
NIC1790	167.629
NIC1791	136.306
NIC1792	170.666
NIC1794	193.187
NIC1796	208.176
NIC1798	219.95299999999997
NIC1799	168.723
NIC1801	182.485
NIC1802	200.339
NIC1805	320.9066666666667
NIC1806	199.772
NIC1808	287.934
NIC1809	169.262
NIC1810	224.187
NIC1811	177.04
NIC1812	170.979
NIC1832	264.51
NIC195	274.658
NIC199	208.92950000000002
NIC2	200.874
NIC207	1315.9
NIC231	200.497
NIC236	181.43099999999998
NIC242	242.896
NIC251	198.386
NIC252	124.754
NIC255	455.131
NIC256	215.2045
NIC258	237.61
NIC259	223.449
NIC260	142.921
NIC261	209.33
NIC262	448.48
NIC265	116.398
NIC266	422.191
NIC267	109.3225
NIC268	168.717
NIC269	206.554
NIC271	230.279
NIC272	115.17865
NIC274	53.6572
NIC275	272.499
NIC276	120.22
NIC277	169.467
NIC3	144.85555
NIC501	93.9134
NIC511	98.7148
NIC513	125.045
NIC514	341.743
NIC515	258.76
NIC522	275.922
NIC523	86.6102
NIC526	366.672
NIC527	136.734
NIC528	111.149
NIC529	150.222
PB303	696.373
PB306	305.644
PS2025	162.211
PX179	188.509
QG2075	237.989
QG2811	150.2935
QG2813	140.103
QG2818	132.254
QG2823	390.5425
QG2824	139.427
QG2825	142.245
QG2827	135.269
QG2828	140.026
QG2832	150.32999999999998
QG2835	141.765
QG2836	134.956
QG2837	154.522
QG2838	165.814
QG2841	143.19899999999998
QG2843	146.906
QG2846	136.32466666666667
QG2850	133.0135
QG2854	131.07516666666666
QG2855	134.926
QG2857	127.98
QG2873	157.095
QG2874	162.262
QG2875	132.33300000000003
QG2877	130.7695
QG2932	132.6105
QG4003	187.844
QG4004	195.548
QG4006	199.539
QG4008	187.143
QG4010	212.27642857142857
QG4012	268.765
QG4015	236.70657142857144
QG4017	258.546
QG4018	216.983
QG4021	198.277
QG4080	199.6584
QG4103	264.999
QG4135	241.80666666666667
QG4138	210.68933333333334
QG4151	203.676
QG4193	178.03050000000002
QG4226	209.874
QG4228	192.467
QG536	166.54033333333334
QG556	798.226
QG557	665.395
QW947	122.144
QX1211	442.943
QX1212	1001.2166666666667
QX1233	313.071
QX1791	118.928
QX1792	304.835
QX1793	206.181
QX1794	512.429
RC301	639.113076923077
TWN2530	175.071
TWN2542	182.61466666666666
WN2001	279.78027272727275
WN2002	162.475
WN2033	195.51833333333332
WN2050	131.75685714285714
WN2063	155.009
WN2064	99.4388
WN2066	163.1646
WN2068	164.99775
WN2069	154.535
WN2082	147.8945
WN2086	138.5125
XZ1513	214.8415
XZ1514	120.969
XZ1515	179.511
XZ1516	78.3406
XZ1672	309.021
XZ1734	153.681
XZ1735	139.846
XZ1756	156.117
XZ2018	194.236
XZ2019	227.299
XZ2020	427.127
XZ2211	167.9265
