AssayNumber	Strain	TraitName	Replicate	Value
189	ECA372	TelLength	1	15
190	ECA396	TelLength	1	16
191	ECA592	TelLength	1	5
192	ECA593	TelLength	1	22
193	ECA594	TelLength	1	9
194	ECA640	TelLength	1	20
195	ECA701	TelLength	1	12
196	ECA703	TelLength	1	25
197	ECA705	TelLength	1	11
198	ECA706	TelLength	1	10
199	ECA710	TelLength	1	11
200	ECA712	TelLength	1	16
201	ECA722	TelLength	1	9
202	ECA723	TelLength	1	12
203	ECA724	TelLength	1	15
204	ECA730	TelLength	1	16
205	ECA732	TelLength	1	11
206	ECA733	TelLength	1	12
207	ECA738	TelLength	1	12
208	ECA740	TelLength	1	4
209	ECA741	TelLength	1	10
210	ECA742	TelLength	1	9
211	ECA743	TelLength	1	11
212	ECA744	TelLength	1	12
213	ECA745	TelLength	1	10
214	ECA746	TelLength	1	15
215	ECA760	TelLength	1	15
216	ECA768	TelLength	1	10
217	ECA777	TelLength	1	17
218	ECA778	TelLength	1	16
219	ECA807	TelLength	1	13
220	ECA812	TelLength	1	13
221	ECA923	TelLength	1	10
222	ECA928	TelLength	1	24
223	ECA930	TelLength	1	20
224	ED3005	TelLength	1	9
225	ED3011	TelLength	1	52
226	ED3012	TelLength	1	31
227	ED3017	TelLength	1	19
228	ED3040	TelLength	1	10
229	ED3046	TelLength	1	18
230	ED3048	TelLength	1	14
231	ED3049	TelLength	1	41
232	ED3052	TelLength	1	6
233	ED3073	TelLength	1	9
234	ED3077	TelLength	1	10
235	EG4347	TelLength	1	23
236	EG4349	TelLength	1	7
237	EG4724	TelLength	1	27
238	EG4725	TelLength	1	15
239	EG4946	TelLength	1	18
240	GXW1	TelLength	1	9
241	JR4305	TelLength	1	16
242	JT11398	TelLength	1	39
243	JU1088	TelLength	1	20
244	JU1172	TelLength	1	22
245	JU1200	TelLength	1	15
246	JU1212	TelLength	1	12
247	JU1213	TelLength	1	8
248	JU1242	TelLength	1	9
249	JU1246	TelLength	1	10
250	JU1249	TelLength	1	12
251	JU1395	TelLength	1	9
252	JU1400	TelLength	1	6
253	JU1409	TelLength	1	14
254	JU1440	TelLength	1	10
255	JU1491	TelLength	1	10
256	JU1530	TelLength	1	11
257	JU1543	TelLength	1	15
258	JU1568	TelLength	1	13
259	JU1581	TelLength	1	8
260	JU1586	TelLength	1	16
