strain	LENGTH_ESTIMATE
[ECA2606.bam]	211.462
[ECA2151.bam]	194.635
[ED3017.bam]	279.65
[WN2019.bam]	187.032
[NIC242.bam]	242.896
[NIC1808.bam]	287.934
[ECA1233.bam]	160.808
[ECA1975.bam]	180.467
[ECA924.bam]	155.647
[ECA2481.bam]	222.352
[ECA738.bam]	165.122
[NIC197.bam]	312.262
[ECA2143.bam]	186.392
[JU3791.bam]	204.003
[ECA2537.bam]	226.161
[ECA2121.bam]	150.573
[ECA571.bam]	99.0309
[JU2866.bam]	119.01
[MY710.bam]	146.041
[ECA1771.bam]	320.054
[MY2198.bam]	116.707
[WN2069.bam]	154.535
[MY2239.bam]	153.015
[DL200.bam]	133.738
[ECA1415.bam]	159.805
[QG2831.bam]	165.297
[JU1440.bam]	117.263
[QG2839.bam]	140.992
[JU2466.bam]	140.536
[ECA1801.bam]	337.663
[ECA2659.bam]	239.635
[BRC20263.bam]	131.029
[ECA724.bam]	192.832
[ECA2348.bam]	229.508
[ECA1261.bam]	179.577
[MY1.bam]	264.951
[ECA2553.bam]	149.377
[JU3225.bam]	186.977
[NIC232.bam]	242.358
[ECA712.bam]	261.115
[CX11292.bam]	679.344
[ECA2291.bam]	150.283
[ECA694.bam]	244.587
[JU2001.bam]	125.133
[ECA2603.bam]	148.366
[QG4186.bam]	205.545
[ECA1290.bam]	167.6
[NIC1049.bam]	80.79
[JU406.bam]	131.454
[WN2075.bam]	215.881
[ECA1795.bam]	172.964
[JU2519.bam]	114.515
[NIC1781.bam]	195.25
[JU1568.bam]	188.573
[ECA930.bam]	296.672
[WN2010.bam]	298.358
[ECA746.bam]	226.522
[ECA750.bam]	243.263
[ECA772.bam]	163.414
[JU3785.bam]	169.928
[QG558.bam]	778.507
[ECA1285.bam]	248.3
[ECA1793.bam]	171.629
[WN2035.bam]	163.225
[EG4725.bam]	224.705
[QG4010.bam]	255.507
[MY518.bam]	851.369
[JU2151.bam]	255.865
[CX11271.bam]	370.95
[JU2575.bam]	72.539
[ECA2527.bam]	222.139
[WN2077.bam]	135.871
[QG2829.bam]	133.071
[ECA779.bam]	131.785
[QG2823.bam]	406.855
[ECA1276.bam]	149.408
[MY2691.bam]	535.997
[ECA2562.bam]	189.773
[ECA2354.bam]	208.53
[NIC1798.bam]	219.956
[ECA2607.bam]	253.961
[QG4185.bam]	215.605
[NIC231.bam]	158.636
[QG536.bam]	157.648
[ECA2584.bam]	184.655
[ED3073.bam]	184.585
[ECA1254.bam]	190.098
[ECA2580.bam]	162.624
[ECA1863.bam]	182.52
[CX11254.bam]	293.954
[ECA1731.bam]	74.0547
[ECA1763.bam]	199.435
[JU2600.bam]	208.045
[ECA1262.bam]	198.842
[ECA2523.bam]	186.951
[JU4071.bam]	215.832
[QG2851.bam]	134.713
[ECA727.bam]	259.086
[QG2834.bam]	138.636
[ECA2560.bam]	176.048
[MY2434.bam]	145.432
[XZ2018.bam]	194.236
[NIC1806.bam]	191.925
[WN2081.bam]	155.022
[JU1666.bam]	90.3585
[QG537.bam]	114.783
[ECA753.bam]	238.303
[ECA822.bam]	149.434
[ECA2311.bam]	226.418
[ECA2367.bam]	112.947
[NIC195.bam]	358.871
[ECA2550.bam]	171.346
[ECA2597.bam]	142.475
[ECA1815.bam]	278.289
[ECA1297.bam]	213.805
[ECA2079.bam]	341.919
[QG2927.bam]	131.109
[ECA1873.bam]	372.342
[ED3012.bam]	467.155
[ECA1835.bam]	97.9236
[TWN2542.bam]	193.796
[QG2877.bam]	135.961
[ECA1717.bam]	223.561
[QG4019.bam]	181.255
[ECA2676.bam]	150.853
[JU2316.bam]	78.6536
[ECA369.bam]	838.442
[JU4072.bam]	153.897
[ECA2592.bam]	167.431
[ECA2673.bam]	115.886
[QG4006.bam]	213.291
[ECA1515.bam]	169.051
[ECA1275.bam]	188.624
[WN2088.bam]	137.876
[JU1926.bam]	121.869
[ECA714.bam]	214.476
[ECA2651.bam]	185.427
[ECA1409.bam]	128.062
[XZ2210.bam]	184.783
[EG4347.bam]	337.045
[NIC4.bam]	225.195
[ECA1196.bam]	180.221
[ECA1493.bam]	147.224
[ECA1689.bam]	204.998
[XZ1513.bam]	236.538
[WN2078.bam]	157.949
[ECA552.bam]	98.9053
[ECA1255.bam]	186.518
[ECA1216.bam]	163.021
[MY934.bam]	107.162
[ECA780.bam]	214.756
[JU2017.bam]	85.2482
[WN2071.bam]	136.027
[ECA2482.bam]	195.748
[QG4134.bam]	323.403
[MY2640.bam]	559.168
[ECA2255.bam]	338.87
[JU2592.bam]	224.236
[JU1920.bam]	97.9736
[ECA2175.bam]	196.961
[ECA744.bam]	195.706
[ECA922.bam]	145.454
[NIC526.bam]	366.672
[ECA715.bam]	248.856
[WN2020.bam]	308.205
[MY2532.bam]	167.386
[ECA2556.bam]	257.248
[NIC2002.bam]	155.184
[ECA1253.bam]	168.465
[NIC514.bam]	341.743
[MY2693.bam]	191.423
[ECA1813.bam]	313.048
[ECA767.bam]	184.286
[MY2054.bam]	163.815
[WN2067.bam]	152.617
[JU2468.bam]	121.535
[ECA1917.bam]	208.431
[ECA741.bam]	129.258
[QG4161.bam]	248.013
[ECA1991.bam]	207.725
[ECA2657.bam]	238.955
[ECA1743.bam]	162.31
[ECA1739.bam]	155.96
[ECA1915.bam]	162.842
[ECA1070.bam]	174.082
[NIC258.bam]	237.61
[ECA2187.bam]	168.804
[MY2347.bam]	188.917
[JU3140.bam]	128.641
[ECA1939.bam]	582.012
[TWN2794.bam]	165.885
[NIC207.bam]	1315.9
[MY2022.bam]	436.378
[XZ2019.bam]	227.299
[JU1770.bam]	95.4903
[ECA1787.bam]	180.894
[ECA2135.bam]	163.868
[ECA397.bam]	179.715
[NIC1783.bam]	195.895
[NIC1796.bam]	208.176
[ECA2475.bam]	150.615
[ECA2423.bam]	247.703
[ECA1761.bam]	149.926
[NIC1809.bam]	169.262
[JU3128.bam]	149.647
[MY2288.bam]	190.919
[JU2906.bam]	201.022
[ED3052.bam]	91.6412
[NIC275.bam]	272.499
[CX11314.bam]	471.197
[NIC1795.bam]	176.062
[JU3125.bam]	177.507
[NIC1788.bam]	178.689
[ECA2649.bam]	231.714
[JU2838.bam]	92.9312
[JU1395.bam]	163.991
[ECA1242.bam]	160.098
[ECA1274.bam]	226.915
[NIC1980.bam]	138.511
[QG2932.bam]	143.689
[MY920.bam]	121.196
[NIC267.bam]	108.683
[ECA1693.bam]	400.873
[ECA1295.bam]	192.864
[ECA1811.bam]	249.495
[ECA2593.bam]	158.348
[ECA1779.bam]	332.648
[ECA1202.bam]	166.127
[MY2079.bam]	115.316
[QG4139.bam]	203.843
[ECA2653.bam]	194.293
[ECA1977.bam]	186.41
[ECA2195.bam]	128.061
[ECA1201.bam]	163.518
[ECA1819.bam]	278.341
[NIC1787.bam]	163.309
[NIC528.bam]	111.149
[QG4003.bam]	187.844
[ECA775.bam]	176.796
[CX11315.bam]	1026.54
[ECA1204.bam]	201.594
[NIC2.bam]	200.874
[ECA1211.bam]	194.319
[ECA763.bam]	267.406
[ECA703.bam]	377.118
[NIC1832.bam]	264.51
[JU3401.bam]	140.265
[ECA615.bam]	127.391
[ECA1069.bam]	146.965
[ECA1185.bam]	164.045
[ECA733.bam]	189.802
[NIC1985.bam]	149.124
[ECA2139.bam]	165.726
[QG4160.bam]	234.921
[NIC266.bam]	422.191
[ECA2643.bam]	199.662
[EG4946.bam]	272.077
[ECA1232.bam]	187.975
[ECA246.bam]	173.57
[ECA781.bam]	275.922
[ECA1289.bam]	185.315
[ECA1270.bam]	148.683
[ECA1933.bam]	349.748
[QG4009.bam]	182.876
[QG2843.bam]	146.906
[MY804.bam]	185.306
[ECA725.bam]	218.722
[ECA2686.bam]	211.185
[WN2016.bam]	146.705
[ECA1265.bam]	197.602
[ECA2557.bam]	240.109
[MY803.bam]	134.166
[ECA1943.bam]	452.431
[ECA572.bam]	113.137
[MY2137.bam]	206.829
[ECA2041.bam]	247.684
[ECA1467.bam]	145.414
[JU2862.bam]	108.549
