strain	LENGTH_ESTIMATE
[WN2021.bam]	311.795
[ECA1907.bam]	165.687
[MY2479.bam]	156.618
[RC301.bam]	773.44
[JU782.bam]	157.937
[ECA742.bam]	136.279
[ECA1853.bam]	235.535
[ECA1827.bam]	198.531
[ECA2155.bam]	206.485
[NIC1804.bam]	310.288
[XZ1672.bam]	309.021
[NIC1790.bam]	167.629
[QG4151.bam]	203.676
[ECA1855.bam]	201.339
[ECA1278.bam]	159.498
[MY2224.bam]	146.978
[JU258.bam]	432
[QG2827.bam]	137.467
[ECA743.bam]	166.817
[NIC1789.bam]	210.924
[ECA2285.bam]	214.749
[NIC1799.bam]	168.723
[ECA250.bam]	305.117
[JU311.bam]	120.656
[JU2007.bam]	79.9157
[WN2086.bam]	141.154
[ECA1292.bam]	192.46
[MY564.bam]	282.161
[ECA394.bam]	226.544
[ECA1713.bam]	203.541
[ECA2179.bam]	176.656
[ECA1783.bam]	383.024
[WN2074.bam]	228.04
[JU1586.bam]	238.277
[MY2453.bam]	163.067
[ECA705.bam]	184.055
[ECA193.bam]	273.233
[ECA1987.bam]	411.331
[ECA708.bam]	252.786
[ECA1865.bam]	213.705
[ECA716.bam]	235.515
[ECA1749.bam]	416.789
[JU2287.bam]	97.0387
[JU2578.bam]	93.5414
[NIC252.bam]	124.754
[ECA1195.bam]	173.851
[ECA1885.bam]	194.177
[NIC521.bam]	135.657
[ECA1441.bam]	200.146
[ECA1184.bam]	180.965
[XZ2020.bam]	427.127
[ECA249.bam]	226.347
[JU1792.bam]	139.565
[ECA1751.bam]	531.584
[JU2908.bam]	193.766
[ECA732.bam]	170.152
[JU3282.bam]	122.358
[ECA764.bam]	242.939
[ECA2679.bam]	221.979
[MY991.bam]	141.9
[ECA1757.bam]	162.149
[ECA1857.bam]	197.6
[ECA1849.bam]	391.381
[ED3048.bam]	215.438
[JU3134.bam]	220.589
[ECA1298.bam]	195.682
[ECA36.bam]	377.661
[ECA1215.bam]	161.291
[ECA2419.bam]	250.667
[ECA928.bam]	379.041
[ECA1243.bam]	182.537
[MY741.bam]	131.315
[QG2824.bam]	139.427
[NIC1782.bam]	186.957
[ECA2109.bam]	195.342
[ECA551.bam]	99.4815
[ECA2674.bam]	148.06
[ECA2650.bam]	242.395
[MY2208.bam]	143.442
[ECA2253.bam]	313.824
[ECA2328.bam]	357.479
[QX1233.bam]	313.071
[ECA251.bam]	636.56
[WN2095.bam]	149.675
[MY2099.bam]	314.085
[JU397.bam]	141.106
[JU2522.bam]	146.241
[MY2344.bam]	181.902
[QG2841.bam]	142.392
[ECA1691.bam]	343.774
[JU367.bam]	120.958
[ECA784.bam]	245.485
[ECA1291.bam]	204.125
[MY2689.bam]	179.262
[ECA1729.bam]	258.1
[QG4162.bam]	237.613
[NIC1801.bam]	182.485
[GXW1.bam]	131.089
[NIC1794.bam]	201.786
[MY887.bam]	105.487
[XZ1756.bam]	156.117
[JU1922.bam]	118.272
[ECA248.bam]	776.782
[XZ1515.bam]	179.511
[ECA2191.bam]	164.556
[XZ1734.bam]	153.681
[ECA722.bam]	136.981
[ECA2585.bam]	165.447
[JU1652.bam]	279.191
[JU1656.bam]	122.781
[JU360.bam]	307.074
[NIC1803.bam]	349.034
[NIC200.bam]	209.614
[ECA1789.bam]	314.269
[ECA734.bam]	162.769
[ECA2307.bam]	138.804
[JU2604.bam]	105.348
[ECA707.bam]	272.078
[NIC237.bam]	217.827
[AB1.bam]	188.384
[MY2713.bam]	209.885
