ReadGroup	length_estimate
[QG830.bam]	87.8199
[NIC1131.bam]	61.9058
[ECA2368.bam]	192.599
[QG887.bam]	97.9278
[QG3784.bam]	183.138
[QG2901.bam]	135.196
[EG6262.bam]	64.1896
[JU3416.bam]	37.2021
[QG115.bam]	76.3378
[JU1340.bam]	83.9946
[QG771.bam]	79.83
[QG952.bam]	185.061
[BRC20093.bam]	79.77
[JU2779.bam]	74.5335
[ECA287.bam]	35.68
[QG997.bam]	52.5221
[QG3929.bam]	133.25
[ECA185.bam]	34.8218
[NIC1069.bam]	47.3924
[QG2690.bam]	80.0406
[JU3281.bam]	87.861
[MY918.bam]	60.9047
[ECA1557.bam]	28.0787
[JU2849.bam]	75.7998
[QG2734.bam]	44.799
[QG4130.bam]	97.4031
[NIC107.bam]	33.0104
[QG577.bam]	66.0389
[ECA346.bam]	21.5434
[NIC73.bam]	55.4034
[NIC1633.bam]	43.1138
[ECA1487.bam]	41.1681
[NIC985.bam]	67.1367
[XZ1211.bam]	76.0699
[QG3927.bam]	133.964
[JU2221.bam]	75.7965
[NIC901.bam]	38.6465
[JU1497.bam]	102.867
[BRC20121.bam]	43.0834
[ECA2670.bam]	23.9725
[JU2248.bam]	51.8093
[QG950.bam]	84.9735
[NIC373.bam]	93.6524
[QG4101.bam]	39.8104
[QG2784.bam]	44.7929
[QG3932.bam]	64.7663
[QG3841.bam]	76.168
[QG875.bam]	220.07
[XZ1210.bam]	60.4565
[QG760.bam]	56.6514
[XZ1732.bam]	56.5581
[JU373.bam]	136.663
[JU1338.bam]	90.6475
[QX1547.bam]	113.174
[NIC1103.bam]	80.6434
[BRC20122.bam]	44.1455
[QG3832.bam]	32.7752
[QG750.bam]	145.876
[QG731.bam]	77.5484
[JU1500.bam]	86.1492
[EG6276.bam]	42.9602
[ECA2275.bam]	79.8871
[QG2909.bam]	69.9935
[NIC70.bam]	48.0425
[BRC20342.bam]	27.4896
[QG776.bam]	54.6524
[JU378.bam]	157.353
[QG4133.bam]	76.6794
[NIC578.bam]	53.2857
[QG933.bam]	188.11
[NIC28.bam]	39.9497
[MY754.bam]	67.1824
[QG574.bam]	64.9476
[JU845.bam]	59.3224
[QG870.bam]	67.147
[NIC32.bam]	78.9951
[QG3822.bam]	159.394
[BRC20540.bam]	59.7498
[BRC20120.bam]	102.854
[QG806.bam]	66.5382
[NIC817.bam]	29.3421
[JU1473.bam]	85.5617
[QG109.bam]	58.4097
[ECA1641.bam]	99.9299
[ECA1499.bam]	31.9273
[QG723.bam]	84.5436
[JU2595.bam]	57.538
[NIC419.bam]	123.653
[NIC549.bam]	72.1394
[QG993.bam]	85.9084
[EG6261.bam]	62.7385
[NIC1533.bam]	27.4287
[NIC1483.bam]	79.6609
[NIC179.bam]	90.8731
[NIC778.bam]	38.9065
[ED3085.bam]	50.9857
[ECA175.bam]	50.6762
[JU2247.bam]	60.1045
[ECA276.bam]	98.2016
[BRC20520.bam]	62.6215
[ECA2470.bam]	16.4777
[QG2849.bam]	104.058
[JU2556.bam]	61.4375
[ECA1577.bam]	37.7732
[QR25.bam]	89.3809
[JU1776.bam]	76.4879
[BRC20246.bam]	88.7602
[NIC1308.bam]	54.4797
[QG832.bam]	29.2142
[MY2717.bam]	35.1359
[QG2695.bam]	89.2921
[NIC1217.bam]	46.5188
[NIC76.bam]	43.353
[QG741.bam]	65.0786
[QG4066.bam]	47.7649
[EG4360.bam]	31.8066
[NIC1668.bam]	41.2009
[NIC1059.bam]	104.723
[BRC20107.bam]	27.0662
[QG2729.bam]	53.8119
[NIC23.bam]	67.7761
[NIC556.bam]	78.8873
[QG816.bam]	141.161
[QG3923.bam]	121.062
[JU2781.bam]	32.4929
[QG809.bam]	48.6553
[JU844.bam]	63.435
[NIC1629.bam]	27.7067
[JU2850.bam]	64.838
[NIC108.bam]	52.3705
[BRC20069.bam]	66.8183
[ECA2387.bam]	31.8924
[QG4211.bam]	47.1868
[ECA1609.bam]	64.4992
[QG805.bam]	83.7402
[NIC864.bam]	61.6459
[QG2684.bam]	61.4798
[JU1907.bam]	82.8488
[QG1143.bam]	159.944
[MY2132.bam]	110.712
[QG3804.bam]	102.724
[NIC1356.bam]	58.2027
[BW287.bam]	84.6049
[BRC20347.bam]	61.4723
[NIC504.bam]	62.1177
[JU1556.bam]	120.781
[EG6269.bam]	33.104
[EG4365.bam]	30.3764
[ECA1156.bam]	50.2453
[JU2138.bam]	64.6054
[NIC309.bam]	55.5285
[QG874.bam]	92.7326
[NIC160.bam]	93.1939
[QG1102.bam]	37.013
[MY756.bam]	79.9834
[QG753.bam]	142.318
[NIC325.bam]	120.411
[JU2777.bam]	119.302
[QG4059.bam]	44.4732
[QG1104.bam]	89.0541
[NIC1693.bam]	94.928
[QG3801.bam]	24.9238
[BRC20369.bam]	103.675
[BRC20339.bam]	27.4434
[QG4095.bam]	45.3023
[QG994.bam]	125.054
[NIC1185.bam]	85.7643
[ECA2501.bam]	26.6145
[QG117.bam]	81.3216
[NIC209.bam]	86.2224
[BRC20090.bam]	57.9971
[QG2967.bam]	86.603
[QG1149.bam]	109.746
[NIC119.bam]	74.1422
[ECA2808.bam]	46.2168
[JU1885.bam]	56.7143
[ECA360.bam]	24.2589
[QG985.bam]	232.121
[JU356.bam]	65.393
[ECA2625.bam]	41.4712
[QG2779.bam]	119.757
[EG6263.bam]	78.0337
[BRC20542.bam]	64.8481
[BRC20073.bam]	61.9327
[QG581.bam]	64.3909
[BRC20269.bam]	116.963
[QG2820.bam]	110.048
[ECA1130.bam]	74.6476
[QG763.bam]	164.084
[JU1435.bam]	48.9663
[JU280.bam]	111.742
[JU2577.bam]	86.9682
[NIC1351.bam]	70.8194
[MY752.bam]	64.7187
[QG3025.bam]	67.8377
[ECA2632.bam]	47.9648
[ECA1535.bam]	35.1333
[NIC1287.bam]	72.1375
[QG2894.bam]	119.028
[QG762.bam]	128.849
[ECA1469.bam]	52.9298
[ECA2379.bam]	41.8793
[ECA2627.bam]	150.298
[NIC1104.bam]	112.922
[QG1150.bam]	47.184
[MY682.bam]	86.0067
[JU2823.bam]	130.205
[QG2657.bam]	71.2967
[QG1145.bam]	41.7291
[QG3045.bam]	57.5218
[JU1533.bam]	65.0043
[QG742.bam]	50.4974
[JU1046.bam]	117.984
[GXW0024.bam]	95.5998
[NIC583.bam]	42.5408
[NIC329.bam]	49.4786
[NIC1373.bam]	59.8558
[NIC163.bam]	81.2031
[BRC20536.bam]	62.5542
[BRC20123.bam]	48.8922
[QG1141.bam]	134.74
[JU3205.bam]	112.017
[QG3004.bam]	41.84
[ECA178.bam]	49.6409
[BRC20324.bam]	45.3742
[JU1337.bam]	60.0213
[NIC181.bam]	106.782
[BRC20234.bam]	51.7356
[NIC61.bam]	63.2457
[JU1499.bam]	96.4233
[MY681.bam]	58.2855
[QG1114.bam]	75.2167
[MY661.bam]	103.78
[NIC498.bam]	82.0623
[QG2890.bam]	31.747
[QG2683.bam]	107.515
[QG791.bam]	138.14
[JU2835.bam]	100.334
[QG886.bam]	100.384
[NIC154.bam]	79.6791
[NIC1664.bam]	61.8397
[NIC1595.bam]	41.5863
[QG133.bam]	25.008
[QG3926.bam]	52.7286
[JU841.bam]	60.2345
[NIC106.bam]	63.2472
[QG881.bam]	39.1468
[JU2894.bam]	146.838
[JU2145.bam]	62.8162
[QG770.bam]	54.3871
[QG1152.bam]	68.3394
[BRC20294.bam]	93.4928
[QG4209.bam]	48.3395
[QG2616.bam]	66.8884
[NIC331.bam]	54.6655
[ED3098.bam]	83.7699
[NIC88.bam]	88.1098
[NIC93.bam]	41.356
[BRC20345.bam]	100.236
[JU2893.bam]	83.1038
[NIC103.bam]	40.4823
[BRC20537.bam]	93.3388
[BRC20348.bam]	100.899
[JU1995.bam]	63.8847
[NIC377.bam]	73.9879
[ECA1407.bam]	80.3174
[QG2624.bam]	65.3779
[ECA1183.bam]	38.1744
[QG2622.bam]	67.892
[MY755.bam]	49.2219
[QG783.bam]	71.8559
[JU1827.bam]	54.9621
[JU839.bam]	78.7682
[JU2573.bam]	29.1104
[ECA1501.bam]	26.5672
[JU2767.bam]	49.854
[JU1346.bam]	89.5483
[NIC38.bam]	79.8579
[QG744.bam]	84.9984
[NIC30.bam]	68.0496
[JU2910.bam]	52.2939
[ECA2633.bam]	22.8493
[MY765.bam]	61.4452
[NIC117.bam]	48.6761
[JU2055.bam]	41.1002
[QG4123.bam]	48.467
[QG4112.bam]	45.9327
[QG3930.bam]	178.357
[NIC1527.bam]	55.1143
[ECA2662.bam]	55.9692
[QG923.bam]	71.4926
[NIC745.bam]	66.7592
[QG2678.bam]	151.74
[ECA1153.bam]	62.8553
[NIC1589.bam]	22.2158
[JU2536.bam]	60.4772
[NIC1052.bam]	42.7724
[QG3796.bam]	84.4342
[BRC20092.bam]	35.1471
[JU4058.bam]	33.0208
[QG4117.bam]	25.9265
[JU2905.bam]	177.423
[JU793.bam]	35.7506
[NIC156.bam]	70.3471
[NIC170.bam]	102.506
[ECA1162.bam]	46.1357
[QG2617.bam]	60.5779
[ECA1601.bam]	56.6474
[JU2594.bam]	81.2282
[NIC839.bam]	103.406
[JU1994.bam]	72.7964
[NIC74.bam]	47.6638
[NIC552.bam]	84.9348
[NIC906.bam]	52.5415
[ECA1573.bam]	35.177
[ECA1645.bam]	113.555
[NIC1423.bam]	117.057
[NIC1625.bam]	28.4739
[NIC1202.bam]	83.8462
[QG777.bam]	63.6135
[QG986.bam]	80.4162
[ECA1553.bam]	40.1999
[QG108.bam]	58.2707
[ECA2383.bam]	44.2985
[BRC20232.bam]	47.3814
[QG3017.bam]	144.358
[QG3820.bam]	49.3841
[QG2887.bam]	139.691
[ECA186.bam]	42.2645
[JU838.bam]	67.082
[ECA2631.bam]	77.7431
[BRC20530.bam]	63.8076
[NIC1414.bam]	67.1455
[QG2665.bam]	91.1288
[QG129.bam]	81.5841
[MY2249.bam]	42.2534
[QX1795.bam]	113.737
[NIC333.bam]	40.8561
